model_name,layer,mean,std,p01,p50,p99
no_bn,1,-0.12541508674621582,0.2678475081920624,-0.8455196619033813,-0.11724000424146652,0.6534202694892883
no_bn,4,-0.11719397455453873,0.2751152217388153,-1.2726459503173828,-0.01954786479473114,0.22702795267105103
no_bn,8,-0.003948514815419912,0.14640158414840698,-0.31834137439727783,-0.001353469560854137,0.44252052903175354
bn,1,-0.09525317698717117,0.749920666217804,-2.0588581562042236,-0.09347102046012878,2.2390270233154297
bn,4,-0.3025606870651245,0.3873392641544342,-1.4398826360702515,-0.25761091709136963,0.6266998052597046
bn,8,-0.01453225128352642,0.32625019550323486,-0.5039781928062439,-0.05328362435102463,1.4520660638809204
