step,epoch,loss,grad_norm,grad_change_norm,relative_grad_change,grad_cosine,param_distance,grad_diff_over_distance
1,1,2.477267026901245,14.102200508117676,nan,nan,nan,nan,nan
2,1,3.647212266921997,16.392894744873047,22.959123611450195,1.6280525580552172,-0.12873806059360504,3.122763156890869,7.352182172631285
3,1,3.529322862625122,12.67995548248291,22.581113815307617,1.3774939793576475,-0.1933945268392563,2.190889358520508,10.306825275077413
4,1,2.537055730819702,6.361877918243408,13.903995513916016,1.096533464421306,0.049174610525369644,1.7454978227615356,7.965633260951692
5,1,2.281897783279419,4.058960437774658,8.327850341796875,1.3090239153936778,-0.24018576741218567,1.4541008472442627,5.727147713017059
6,1,2.2946553230285645,3.274810791015625,3.504157543182373,0.8633140423272218,0.5612419843673706,1.2456310987472534,2.8131583634221515
7,1,2.1981523036956787,2.5351614952087402,3.5467352867126465,1.0830351776175764,0.27535542845726013,1.0961120128631592,3.235741644181936
8,1,2.1233835220336914,2.589353084564209,3.4027702808380127,1.3422301842575488,0.1182849183678627,0.9763374328613281,3.4852400064823
9,1,2.2367794513702393,3.8246524333953857,3.9527127742767334,1.5265252150578965,0.28822389245033264,0.8780331015586853,4.501781045902907
10,1,2.1048574447631836,3.2760469913482666,4.754208087921143,1.2430431707749423,0.11005650460720062,0.801203727722168,5.933831712729895
11,1,2.051462411880493,3.0074245929718018,4.756343841552734,1.451854583927624,-0.14441648125648499,0.740696370601654,6.421448828867383
12,1,1.974550485610962,2.36617374420166,2.353093385696411,0.7824280586102436,0.6398410797119141,0.6790124773979187,3.465464132132542
13,1,1.9923239946365356,2.4148902893066406,3.0740737915039062,1.2991750073449446,0.17330482602119446,0.6318091154098511,4.865510351975384
14,1,2.051439046859741,2.9904301166534424,3.227194309234619,1.3363730532702045,0.3018450438976288,0.5872474312782288,5.4954592175987385
15,1,1.9960837364196777,2.499004364013672,4.869676113128662,1.6284199674181434,-0.5704492926597595,0.5551892518997192,8.771200264517141
16,1,1.9545315504074097,3.021618604660034,3.6349520683288574,1.4545601122877896,0.14318057894706726,0.5144959092140198,7.065074771682444
17,1,1.8557716608047485,2.499197244644165,4.084484577178955,1.351753848377285,-0.08652794361114502,0.48719877004623413,8.38361019832411
18,1,1.8278114795684814,3.1831812858581543,4.182945251464844,1.6737155342289665,-0.07029198110103607,0.46322232484817505,9.030102883808134
19,1,1.937971830368042,2.7536375522613525,3.4607391357421875,1.0871951123600927,0.3273378908634186,0.4472179114818573,7.738373278179499
20,1,1.9662741422653198,3.3331305980682373,4.117009162902832,1.4951165811638323,0.09492634236812592,0.4276171624660492,9.627792156775456
21,1,1.732836127281189,2.3884599208831787,3.164311170578003,0.9493510912566626,0.42718204855918884,0.40770435333251953,7.761288651214037
22,1,1.8531763553619385,2.969592571258545,3.0878074169158936,1.2928026926124114,0.3516734540462494,0.3974446654319763,7.769150489293989
23,1,1.9626266956329346,4.805140495300293,5.765881061553955,1.9416404517433081,-0.04686731472611427,0.3918469250202179,14.714626282295674
24,1,1.852304458618164,3.0726399421691895,4.112918853759766,0.8559414355899861,0.528782844543457,0.36783015727996826,11.181570549198062
25,1,1.7583974599838257,3.3211543560028076,4.032815456390381,1.3124920369101316,0.20615892112255096,0.3643805682659149,11.06759198376428
26,1,1.7347337007522583,2.2313172817230225,3.4718215465545654,1.0453659102830886,0.2668693959712982,0.3557811379432678,9.758306937279
27,1,1.8170071840286255,3.300407886505127,4.14237642288208,1.8564712678070963,-0.08743663877248764,0.34894275665283203,11.87122054804971
28,1,1.8192588090896606,3.147674083709717,4.22545862197876,1.2802837610632147,0.14179204404354095,0.3345208168029785,12.631377210987683
29,1,2.034475326538086,4.130955219268799,5.421785831451416,1.7224737019341607,-0.0931759625673294,0.32498034834861755,16.683426733294645
30,1,1.7777174711227417,2.8165581226348877,3.314038038253784,0.8022449681358648,0.6022712588310242,0.331780344247818,9.988650912268715
31,1,1.8097724914550781,3.07737135887146,3.9139387607574463,1.3896176078534357,0.12023501098155975,0.3340853154659271,11.715386997142376
32,1,1.7663582563400269,2.6550650596618652,3.9292166233062744,1.2768093821299253,0.0661420226097107,0.326814204454422,12.022784107115596
33,1,1.6884108781814575,2.3428828716278076,3.0608901977539062,1.1528494138454641,0.25475603342056274,0.3147611618041992,9.724485003801847
34,1,1.8854608535766602,2.958245277404785,3.0843734741210938,1.3164864157194467,0.3410096764564514,0.30828484892845154,10.004946674583179
35,1,1.7296303510665894,2.7642362117767334,3.65549373626709,1.2356966354976326,0.18524354696273804,0.3086317777633667,11.844191038091923
36,1,1.87504243850708,2.900660514831543,3.844620943069458,1.3908438528836538,0.07942788302898407,0.3043307363986969,12.633035323846071
37,1,1.7609771490097046,2.8664815425872803,2.6953964233398438,0.9292353964060668,0.563183069229126,0.2903519868850708,9.28320295737281
38,1,1.7933399677276611,3.517224073410034,3.1780481338500977,1.108693039404848,0.5201117396354675,0.2967928349971771,10.707967845213032
39,1,1.8421545028686523,2.333414316177368,3.7098798751831055,1.054774958248603,0.24688738584518433,0.31997978687286377,11.594106963529988
40,1,1.6018496751785278,2.674886703491211,3.6661040782928467,1.5711329329191475,-0.06732858717441559,0.31028446555137634,11.815300104587429
41,1,1.8190234899520874,3.3127903938293457,3.191690444946289,1.1932058433650152,0.4481665790081024,0.2870074510574341,11.12058391925326
42,1,1.8074742555618286,3.1301896572113037,4.313243389129639,1.301997070856795,0.10456450283527374,0.28429460525512695,15.171738433952159
43,1,1.607141137123108,1.831680417060852,2.8309924602508545,0.9044156330041965,0.4481220245361328,0.28659412264823914,9.87805483965102
44,1,1.8397663831710815,2.5004725456237793,2.9137299060821533,1.5907414191586908,0.12200623750686646,0.2941625118255615,9.905170743850906
45,1,1.688334345817566,2.5644516944885254,3.55550479888916,1.4219331482404922,0.014593814499676228,0.2986672818660736,11.904567439267057
46,1,1.5089900493621826,2.3217854499816895,3.3187460899353027,1.2941347645840238,0.08003079891204834,0.2871137857437134,11.558992478634096
47,1,1.6732639074325562,3.546473741531372,3.0775351524353027,1.3255036775505022,0.5159573554992676,0.28001105785369873,10.990762922056724
48,1,1.7881654500961304,2.7783963680267334,3.7811672687530518,1.0661765867521333,0.3044466972351074,0.29998794198036194,12.604397509377138
49,1,1.7288144826889038,2.63718581199646,2.776705265045166,0.9993913384706272,0.47522875666618347,0.3083328604698181,9.00554440031203
50,1,1.6124135255813599,2.73211407661438,3.5036349296569824,1.3285506518796473,0.14876556396484375,0.30137351155281067,11.625556976102738
51,1,1.6929699182510376,3.365609884262085,3.850229501724243,1.409249172528702,0.21573743224143982,0.2856920063495636,13.47685415110897
52,1,1.6521570682525635,2.996098279953003,3.8655123710632324,1.1485325108942634,0.26586222648620605,0.29492396116256714,13.106810161550046
53,1,1.5654008388519287,2.8366315364837646,3.9303901195526123,1.3118361790231237,0.09266670793294907,0.29080843925476074,13.515392227307082
54,1,1.5261021852493286,3.875514268875122,3.2722690105438232,1.1535756295648159,0.562079906463623,0.296091765165329,11.051536704189097
55,1,1.7162011861801147,3.61014461517334,5.80768346786499,1.4985581434974786,-0.20285773277282715,0.3079318404197693,18.86028888707696
56,1,1.8499820232391357,3.689793109893799,3.7364695072174072,1.0349916431358712,0.4761958718299866,0.28332430124282837,13.18795984253327
57,1,1.6608877182006836,2.708648681640625,4.150821208953857,1.1249468697371499,0.18620672821998596,0.3122207820415497,13.29450647647209
58,1,1.6421421766281128,2.48153018951416,3.1012744903564453,1.1449526516214212,0.2883889973163605,0.3128978908061981,9.911458598701111
59,1,1.72222900390625,3.25370717048645,3.649137020111084,1.4705188901304682,0.21230673789978027,0.3100113272666931,11.770979635721742
60,1,1.7899082899093628,4.376321315765381,3.443889856338501,1.0584510762296284,0.6277856826782227,0.2962268590927124,11.625852790239438
61,1,1.5425965785980225,1.8681774139404297,3.9092214107513428,0.8932665425337399,0.4501277208328247,0.311724454164505,12.540631184089927
62,1,1.5487415790557861,2.412087917327881,2.669996976852417,1.4291988313997064,0.2418188452720642,0.31007707118988037,8.610752696412026
63,1,1.6446444988250732,2.3963210582733154,2.498147487640381,1.0356784550402298,0.4601779282093048,0.3055253028869629,8.17656496541126
64,1,1.488696575164795,2.684593915939331,2.8767147064208984,1.2004713210226234,0.3632678687572479,0.30707064270973206,9.368250514038339
65,1,1.7023253440856934,2.381532669067383,3.0190672874450684,1.124589931281127,0.29436194896698,0.30602359771728516,9.865472172588202
66,1,1.687258243560791,2.6550257205963135,2.286118507385254,0.9599358165762835,0.5926369428634644,0.29339560866355896,7.791931575905036
67,1,1.5296447277069092,2.5996317863464355,2.6236391067504883,0.9881784143922477,0.5015702247619629,0.29187384247779846,8.988949076315627
68,1,1.6381124258041382,2.124756097793579,2.741065740585327,1.0544053796313249,0.3402891159057617,0.30213412642478943,9.072347347887533
69,1,1.5898405313491821,2.503049850463867,2.613823175430298,1.230175631990586,0.3711453080177307,0.2969546318054199,8.80209599537147
70,1,1.575914740562439,1.9274179935455322,3.0538840293884277,1.220065205182094,0.06777924299240112,0.2895125150680542,10.548366203305646
71,1,1.5841288566589355,2.8074071407318115,3.0892093181610107,1.6027708200838844,0.1897284984588623,0.286763995885849,10.772654037712417
72,1,1.5659277439117432,3.5945987701416016,3.1087117195129395,1.1073248601560082,0.5518795251846313,0.2715480923652649,11.448107377310903
73,1,1.5263898372650146,2.6509597301483154,4.0137176513671875,1.1165968465537417,0.2014242261648178,0.2886503338813782,13.905120418127538
74,1,1.4916901588439941,2.994119167327881,4.429284572601318,1.6708230314580594,-0.22842958569526672,0.2868359684944153,15.441872913759473
75,1,1.591266393661499,2.623141050338745,3.1119887828826904,1.0393670421805434,0.3922298550605774,0.2912392318248749,10.685335088176842
76,1,1.4810357093811035,2.4644453525543213,2.857992649078369,1.0895306787670478,0.37018895149230957,0.3048534691333771,9.374971710814247
77,1,1.5316063165664673,3.1122512817382812,3.597569227218628,1.4597885984724306,0.1836443543434143,0.31779563426971436,11.320385931274428
78,1,1.6619043350219727,2.5726587772369385,3.4663612842559814,1.1137793739838404,0.26783740520477295,0.31712469458580017,10.930594001115244
79,1,1.626635193824768,2.739994764328003,3.4581243991851807,1.3441830800810268,0.15374521911144257,0.310495525598526,11.137437141833196
80,1,1.5142090320587158,2.6676933765411377,3.0153026580810547,1.100477525481503,0.37842097878456116,0.2989794909954071,10.08531604636818
81,1,1.5667712688446045,2.7142882347106934,2.28957462310791,0.8582600396435572,0.6381673812866211,0.3050404489040375,7.505806627699662
82,1,1.6036375761032104,3.362355947494507,3.7196242809295654,1.3703866204631936,0.2650109529495239,0.3328375816345215,11.175493652645251
83,1,1.4443897008895874,1.8517593145370483,3.439473867416382,1.022935679959261,0.2332429587841034,0.3243144154548645,10.605368443403204
84,1,1.579186201095581,2.936938524246216,3.6707234382629395,1.9822897119751555,-0.13051283359527588,0.3157961368560791,11.62371229361875
85,1,1.742762565612793,3.323474407196045,3.152534246444702,1.0734083197239366,0.4985543489456177,0.2948116958141327,10.693382559766418
86,1,1.5184231996536255,2.901463270187378,4.239604949951172,1.2756544599140673,0.07724415510892868,0.30541735887527466,13.881349002394611
87,1,1.4404873847961426,1.8850082159042358,3.9671716690063477,1.3673003238634065,-0.34435105323791504,0.3136480450630188,12.648482053177176
88,1,1.5215545892715454,2.0007708072662354,2.6486294269561768,1.4051023250761947,0.0717361718416214,0.30091574788093567,8.801897027985943
89,1,1.5471457242965698,2.1569314002990723,2.805536985397339,1.4022280689057525,0.09088106453418732,0.2959747016429901,9.478975634789045
90,1,1.4229533672332764,2.769481658935547,3.1458940505981445,1.4585044522790516,0.20303834974765778,0.2949632406234741,10.665376620957558
