step,loss
0,2.477267026901245
1,6.233958721160889
2,4.889310836791992
3,3.4249918460845947
4,2.8183841705322266
5,2.843672513961792
6,2.6372439861297607
7,2.4484474658966064
8,2.443105936050415
9,2.3633642196655273
10,2.2941975593566895
11,2.440445899963379
12,2.3506903648376465
13,2.3687751293182373
14,2.322580099105835
15,2.3253231048583984
16,2.2988338470458984
17,2.2792892456054688
18,2.3087925910949707
19,2.2891180515289307
20,2.314307451248169
21,2.3270182609558105
22,2.2652647495269775
23,2.327618360519409
24,2.302353620529175
25,2.2842609882354736
26,2.3311479091644287
27,2.2999815940856934
28,2.3479998111724854
29,2.2696917057037354
30,2.2707247734069824
31,2.3058981895446777
32,2.272552728652954
33,2.335880994796753
34,2.3804399967193604
35,2.307419538497925
36,2.2942419052124023
37,2.348623514175415
38,2.327711343765259
39,2.281067132949829
40,2.269717216491699
41,2.301896095275879
42,2.284961223602295
43,2.3198907375335693
44,2.2745211124420166
45,2.2885501384735107
46,2.269619941711426
47,2.301375389099121
48,2.2746331691741943
49,2.2792959213256836
50,2.259291172027588
51,2.335061550140381
52,2.299069881439209
53,2.269505739212036
54,2.2627902030944824
55,2.32977032661438
56,2.3074817657470703
57,2.3072807788848877
58,2.3158111572265625
59,2.2929015159606934
60,2.274904251098633
61,2.26552152633667
62,2.302480459213257
63,2.271707057952881
64,2.2892093658447266
65,2.2787954807281494
66,2.2895874977111816
67,2.273738145828247
68,2.3083460330963135
69,2.282268524169922
70,2.2874672412872314
71,2.2199878692626953
72,2.2766196727752686
73,2.2637784481048584
74,2.2685272693634033
75,2.274012804031372
76,2.2798333168029785
77,2.2497382164001465
78,2.2742197513580322
79,2.2467451095581055
80,2.218614339828491
81,2.272585391998291
82,2.268239974975586
83,2.1946306228637695
84,2.252054214477539
85,2.2066774368286133
86,2.2049484252929688
87,2.2385449409484863
88,2.2158029079437256
89,2.1732637882232666
90,2.1670892238616943
91,2.2061727046966553
92,2.173438787460327
93,2.218479633331299
94,2.1794703006744385
95,2.2839579582214355
96,2.195643663406372
97,2.172293186187744
98,2.1797585487365723
99,2.1682851314544678
100,2.2064404487609863
101,2.2153377532958984
102,2.21388840675354
103,2.1570091247558594
104,2.080496311187744
105,2.112595558166504
106,2.0426769256591797
107,2.1437439918518066
108,2.127080202102661
109,2.2250804901123047
110,2.046267509460449
111,2.0803110599517822
112,2.0985751152038574
113,2.0664186477661133
114,2.074188232421875
115,1.9799857139587402
116,2.0474557876586914
117,2.0024731159210205
118,1.918251395225525
119,1.969826579093933
120,1.9159486293792725
121,2.1559255123138428
122,2.053277015686035
123,1.9775731563568115
124,2.1486082077026367
125,2.181377410888672
126,1.9661449193954468
127,2.08420467376709
128,2.0460691452026367
129,2.0962703227996826
130,2.0201833248138428
131,2.0459299087524414
132,2.0980303287506104
133,2.0087032318115234
134,1.996323585510254
135,1.8811533451080322
136,1.9979009628295898
137,1.8035423755645752
138,2.0099568367004395
139,2.005768060684204
140,1.8130217790603638
