epoch,lr,train_loss,train_accuracy,val_loss,val_accuracy,mean_grad_norm,max_grad_norm
1,0.002,1.8866704966735839,0.28598,1.4901153257369995,0.4517,1.6289428074861285,25.901341615894186
2,0.002,1.2644722299575806,0.54394,1.1522835448265076,0.5969,2.449676587386854,6.4838913392166235
3,0.002,1.0025661728286743,0.64792,1.0349014764785767,0.6484,2.8450515451139724,6.487844143635127
4,0.002,0.832430832157135,0.71648,0.9043075581550598,0.6976,2.9188253341157155,6.36922407809872
5,0.002,0.7248616031265259,0.75546,0.78039417552948,0.7347,2.76505534374738,5.825597623490479
6,0.002,0.6476300694084167,0.7834,0.8169351644515991,0.7297,2.695814924202526,5.412145778995498
7,0.002,0.5874034865951538,0.80422,0.7079099845886231,0.7652,2.729215483704396,6.790642892754846
8,0.002,0.5332187720298767,0.82324,0.6344239751815796,0.7955,2.6719824491164017,5.173927436745917
9,0.002,0.4925086391735077,0.83588,0.7844651920318604,0.7482,2.661511613225775,6.79279983991325
10,0.002,0.4608242262649536,0.84678,0.652548067855835,0.7869,2.7437850546474722,5.892285002508974
11,0.002,0.4284883006477356,0.85678,0.6396485335350036,0.7948,2.738885416574681,5.084840192390502
12,0.002,0.4001226480293274,0.86652,0.6852905020713806,0.7825,2.7522320722141314,7.203955025016213
13,0.002,0.3824880587768555,0.87236,0.6686294151306152,0.7876,2.7573588347392155,5.488938060454633
14,0.002,0.3532681137752533,0.88066,0.6195697198867798,0.8011,2.7533255924745803,7.0341626223724285
15,0.002,0.3324653680229187,0.88922,0.6319820248603821,0.7931,2.757230095880285,5.664797918587657
16,0.002,0.3209519369792938,0.89184,0.6127910527944564,0.8021,2.800522813018396,6.748015888070683
17,0.002,0.31096842540740965,0.89608,0.6885494644165039,0.7894,2.776600483573554,6.438931092257064
18,0.002,0.2951355111694336,0.90158,0.6520195552825928,0.7982,2.778564103018564,5.076516486061582
19,0.002,0.28104687017440794,0.90524,0.5952557499885559,0.8136,2.7538310002282835,5.040735546089535
20,0.002,0.2750169665908814,0.90904,0.6839859704017639,0.7953,2.777620344053196,5.612259499834352
