epoch,lr,train_loss,train_accuracy,val_loss,val_accuracy,mean_grad_norm,max_grad_norm
1,0.0001,1.7085368068695068,0.3663,1.4518534769058227,0.456,4.545406921103608,13.023483440048874
2,0.0001,1.3086138065719604,0.5245,1.1796138383865356,0.5692,6.153440234448531,15.17443745550822
3,0.0001,1.1069980867004394,0.59994,1.058026556777954,0.6153,6.397002904340844,14.458040817999617
4,0.0001,0.9524326248931885,0.65772,0.946590594291687,0.6599,6.7189571538297255,14.89919992499711
5,0.0001,0.8189007287597656,0.7082,0.8443073183059693,0.6992,7.059226007632632,16.43894586793508
6,0.0001,0.703727757358551,0.7506,0.7820925855636597,0.7289,7.166579288820467,13.27965407791915
7,0.0001,0.6058121816349029,0.78684,0.7354893628120422,0.7443,7.320751951419965,15.255977276916942
8,0.0001,0.5057038577079773,0.82266,0.7404075387001038,0.7454,7.27217731703357,13.780328298322862
9,0.0001,0.4187845283317566,0.8527,0.7603366130828857,0.7544,7.381298402715864,13.71066471323046
10,0.0001,0.33090603338241575,0.88456,0.7731224655151367,0.7512,7.276059666696196,13.511817149937402
11,0.0001,0.2538730402469635,0.91254,0.8028781532287598,0.7637,7.204273770781618,15.256454332158036
12,0.0001,0.1854359221506119,0.93588,0.8810893260955811,0.7546,6.832262968404198,12.995306130902682
13,0.0001,0.13161322826862334,0.95614,0.8841978575706482,0.7684,6.394347320879588,12.261582373450759
14,0.0001,0.10946063147544861,0.96258,1.0300952995300292,0.7617,6.431615564297967,15.25374530495355
15,0.0001,0.08835756826877594,0.97062,1.0031018080711365,0.7617,6.1635300461131495,17.832341925106594
16,0.0001,0.0672646065378189,0.97808,1.0286838954925537,0.7595,5.565919843156756,16.77441066834209
17,0.0001,0.06347241779327392,0.97884,1.0530659339904784,0.7666,5.387522585271187,12.585681573940574
18,0.0001,0.053076407878398894,0.98166,1.159093021774292,0.766,5.054987893929766,12.455598382552488
19,0.0001,0.05401849024176598,0.98226,1.0976986583709716,0.761,5.115522117069799,11.190727450274709
20,0.0001,0.045036185004711154,0.9848,1.1519021392822266,0.7628,4.670141589814767,12.37693606108431
