alpha,loss
-0.5,1.140295296907425
-0.45,0.953902080655098
-0.4,0.8211269825696945
-0.35,0.7310045063495636
-0.3,0.6693729609251022
-0.25,0.6314013004302979
-0.19999999999999996,0.609018549323082
-0.14999999999999997,0.5963923931121826
-0.09999999999999998,0.5901658833026886
-0.04999999999999999,0.5878411829471588
0.0,0.5880431532859802
0.050000000000000044,0.5905248522758484
0.10000000000000009,0.5948438942432404
0.15000000000000002,0.6018436551094055
0.20000000000000007,0.6138491928577423
0.25,0.636512815952301
0.30000000000000004,0.6808863878250122
0.3500000000000001,0.7592920511960983
0.4,0.8745709955692291
0.45000000000000007,1.039105087518692
0.5,1.2583734691143036
