epoch,train_loss,train_accuracy,val_loss,val_accuracy,mean_grad_norm,mean_grad_change_norm,mean_relative_grad_change,mean_grad_cosine,mean_grad_diff_over_distance
1,1.3639607638549804,0.4976,1.0822975213050843,0.6089,3.5062693302588697,4.401915772144611,1.2812853967957085,0.20805953561376112,11.521424612582866
2,0.9041657024002075,0.68356,1.143429730129242,0.6319,4.258055543045863,5.281246490185828,1.2889033112411568,0.22059732052923925,11.927062474094964
3,0.7366151935577393,0.7479,0.742479398727417,0.7466,4.007857830018339,5.087697158993968,1.3227195319494636,0.18673448342486948,10.804134045777575
4,0.6355585899734497,0.78508,0.8510771496772767,0.726,4.0226985066748036,5.185368588513426,1.3532969340482297,0.16539767471944813,11.036193997891559
5,0.5664457563972474,0.80998,0.6804892568588257,0.7732,3.8880574748949015,5.011891285171899,1.3320400332110904,0.17047365236690368,10.888079216097825
6,0.5046499556350708,0.82996,0.6515829751014709,0.7875,3.856731966938204,4.931924503477638,1.3380307644198228,0.18206196524383847,11.403855684392498
7,0.4528581339073181,0.84896,0.607942982006073,0.7953,3.7602237234335116,4.889118220190258,1.34305575791302,0.1566336457784314,12.061165870095197
8,0.39497072542190553,0.86994,0.6878169718742371,0.7816,3.6138179125383383,4.776772031393807,1.3753871120879264,0.13808721644640723,12.741954436373563
9,0.35435595047950746,0.88242,0.7348319530487061,0.774,3.591566676373982,4.707589918390259,1.3496085006147776,0.14851382572818406,13.29429962205806
10,0.31815892766952514,0.89328,0.6263821896553039,0.8017,3.5349099541564124,4.636759573236451,1.359248096364907,0.14207675595752314,13.965885958974694
11,0.27647747428894043,0.90774,0.7699789030075074,0.7774,3.496127544766497,4.6406854406342175,1.3851014760124303,0.13143890665437968,14.665889498504447
12,0.2506718737125397,0.91798,0.591792181968689,0.8218,3.509878293327663,4.673765778846448,1.3866594098917422,0.12920026040351365,15.485696856668714
13,0.23281767543792725,0.92208,0.7262044814109803,0.7929,3.4389996900582864,4.5815760229554625,1.3797882758500042,0.1248547459959679,15.568380197670345
14,0.20980762884140014,0.93094,0.6489360014915466,0.8151,3.4471476492674453,4.58781336640458,1.3929503548981124,0.12087347351140855,16.625967753211786
15,0.19240901643753053,0.93558,0.6342830067634583,0.8153,3.502948741168927,4.710557751033617,1.3997268320973197,0.11199661044110937,17.058995536535242
16,0.1740203371143341,0.94426,0.6375922051429749,0.8155,3.314579227391411,4.482829154909724,1.4191362340330538,0.10946967427129321,17.0108076738253
17,0.16842258443832397,0.9445,0.6851905143737793,0.8061,3.3624756583167463,4.5127404172097325,1.3998275123715318,0.11508496107010747,17.69833665802893
18,0.15793037900447846,0.94712,0.757379903125763,0.8022,3.2505329431170393,4.477038441411675,1.4452909423030171,0.07793060038238764,18.15566069754604
19,0.14968436032295226,0.94966,0.6543342866897583,0.82,3.2996092489003526,4.4668503582020245,1.411788587052718,0.11082227997448477,18.454667570873458
20,0.1470519092273712,0.9509,0.7213703168869019,0.8103,3.285881148579785,4.379882953355989,1.3965560953694016,0.12019410930321459,18.375990726903193
