epoch,train_loss,train_accuracy,val_loss,val_accuracy,mean_grad_norm,mean_grad_change_norm,mean_relative_grad_change,mean_grad_cosine,mean_grad_diff_over_distance
1,1.7978639991378784,0.33254,1.5162119443893434,0.4456,4.770305489868764,5.451796470047571,1.284063227443254,0.2843447287208759,100.57208165365167
2,1.443719444770813,0.4709,1.3077361907958984,0.5235,6.878577488462638,7.882302411072089,1.2454926332590914,0.3036570948884463,208.95172175919333
3,1.284046526412964,0.53484,1.2551764814376831,0.5397,7.040438633745588,8.186771491604388,1.2460881347426993,0.30293211099498757,246.21330929530785
4,1.1655521129989623,0.57712,1.1183571907043457,0.5944,7.303284159096916,8.611126700935461,1.2421862047736132,0.2782636685046794,277.1695623722326
5,1.069964143409729,0.61454,1.0399666600227355,0.6255,7.973537226162298,9.185942001050085,1.2092476767667166,0.31238688172443824,292.75680858726804
6,0.9777983479309083,0.6488,0.9864452507972717,0.6508,8.287320066291048,9.880952186291784,1.2530520289672704,0.2704596936302569,324.32869233384054
7,0.8948687798118591,0.6803,0.9457400583267211,0.6633,8.53588847674982,10.046559049650227,1.2362115815611818,0.28755608942393035,335.83261718090876
8,0.8200731959533691,0.71008,0.8685491131782532,0.6948,8.6601795113605,10.471843498747063,1.2606788952178585,0.259510098657597,355.9840362013938
9,0.7571920991516113,0.73278,0.854939714050293,0.7032,8.786691385156969,10.56097486622803,1.2512728801230038,0.26300517692947595,357.9162754639918
10,0.6914424063682556,0.75558,0.8430008331298828,0.708,8.729139978013684,10.527067634455689,1.2529284096935316,0.26181936039186804,356.0178109962674
11,0.6318415007019043,0.77736,0.8164801856994629,0.7211,9.156762870681256,11.001494627169636,1.246367227882558,0.2751167428684528,367.2028118707615
12,0.5677353408813477,0.79964,0.7954571683883667,0.7249,9.160389841669966,11.118856581275725,1.2522082320467276,0.2577396784778065,369.60369708998195
13,0.5032145335578918,0.8227,0.7500264976501465,0.7447,9.175502367336732,11.276184433256574,1.2617893188448777,0.24521050144158438,374.14825781168025
14,0.4415116451263428,0.84664,0.8021257266044617,0.7462,9.260328042842543,11.499620310790704,1.2877187014005893,0.22648353645425584,383.7500949431689
15,0.3838254450798035,0.86666,0.8315938560485839,0.7356,9.445645310384844,11.829904462370422,1.2924541924561181,0.21609952524209114,392.0088481812101
16,0.3198070517349243,0.8893,0.8331579721450806,0.7415,9.339954616468582,11.756684388650958,1.296645544795628,0.21119605086010207,394.3082277942744
17,0.26251883516311647,0.91042,0.9123145552635192,0.7316,9.469341637228457,11.678715025372517,1.2741241647284054,0.24357436710844754,393.20016392583585
18,0.21437334806919098,0.92586,0.9068269760131836,0.7509,9.229652895037171,11.692090067412238,1.3095850214405667,0.20599443299214706,402.64864355361846
19,0.1668800996351242,0.9439,1.0365201332092284,0.7315,8.747289501492629,11.125366530454983,1.3240630448568358,0.20584767767349663,391.5651758395469
20,0.13576462078332902,0.95514,1.0605992958068848,0.7324,8.684022304651988,11.032412927778786,1.337494414045213,0.2067675372827417,391.0031181583847
