epoch,lr,mix_mode,train_loss,train_acc,test_loss,test_acc,time_sec
1,0.020000000000000004,cutmix,2.220576570739746,0.1751841015625,2.29329928817749,0.1305,60.998825550079346
2,0.04000000000000001,cutmix,2.137314723815918,0.22998326171875,2.2568188846588133,0.1759,51.01105284690857
3,0.06,cutmix,2.0858836064147948,0.26297791015625,2.1776630447387695,0.2062,49.50956106185913
4,0.08000000000000002,cutmix,2.0276495462799073,0.30079619140625,2.089526169204712,0.2332,49.61803436279297
5,0.1,cutmix,1.9912901064300537,0.31852056640625,1.9968177532196045,0.285,50.0497100353241
6,0.09999716503183759,cutmix,1.9585120894241332,0.3419815625,1.9294710615158082,0.3361,49.75847101211548
7,0.09998866044886423,cutmix,1.9496361759185792,0.34823873046875,1.9084163593292236,0.3622,50.394094944000244
8,0.09997448721558529,cutmix,1.933170482711792,0.35664736328125,1.918764454460144,0.3784,50.09581136703491
9,0.0999546469393881,cutmix,1.9335523989868164,0.35791322265625,1.9436898040771484,0.386,49.60381817817688
10,0.09992914187035971,cutmix,1.9099151553726197,0.37125125,1.9626755268096925,0.3879,49.33794403076172
11,0.09989797490103175,cutmix,1.9135933268737793,0.36899056640625,1.9766040822982789,0.3854,49.806663513183594
12,0.0998611495660523,cutmix,1.9101205260467529,0.36886451171875,1.9803538038253785,0.3854,50.1035053730011
13,0.09981867004178507,cutmix,1.8996062127685547,0.3733305078125,1.9735348459243773,0.3872,50.69633460044861
14,0.0997705411458358,cutmix,1.9041419978332519,0.3763396484375,1.962129797744751,0.3874,49.60216021537781
15,0.0997167683365058,cutmix,1.8721132225418091,0.38941193359375,1.9354107789993287,0.3952,49.812220335006714
16,0.09965735771217304,cutmix,1.871320185623169,0.3909933984375,1.8950518026351928,0.4165,50.506887435913086
17,0.09959231601060042,cutmix,1.8476673899078369,0.4051669921875,1.84888639793396,0.4422,50.83744287490845
18,0.0995216506081717,cutmix,1.8605435804748536,0.39882271484375,1.7907735641479492,0.4704,51.1252338886261
19,0.09944536951905496,cutmix,1.8551746863937377,0.3995525,1.7305928787231446,0.4983,50.20522141456604
20,0.09936348139429363,cutmix,1.8447505549621581,0.40712494140625,1.66438619556427,0.5313,50.78795766830444
21,0.0992759955208255,cutmix,1.8371768293762207,0.4107234765625,1.591927713394165,0.5662,50.35453724861145
22,0.09918292182042937,cutmix,1.816275675354004,0.42287009765625,1.5184615940093995,0.5963,49.907384157180786
23,0.09908427084859989,cutmix,1.8220280702209473,0.41863236328125,1.4480300033569335,0.625,50.25787544250488
24,0.09898005379335041,cutmix,1.8188648448944091,0.4207807421875,1.3827417602539063,0.6526,50.313928842544556
25,0.09887028247394425,cutmix,1.8155418452453613,0.4227096484375,1.3251750728607177,0.6739,49.7722384929657
26,0.09875496933955412,cutmix,1.807310541381836,0.425031328125,1.2759488697052002,0.6899,49.26115536689758
27,0.09863412746785039,cutmix,1.8105441861343383,0.4272436328125,1.2375512041091918,0.7029,49.34357023239136
28,0.09850777056351787,cutmix,1.8096928562927246,0.42444263671875,1.20809896774292,0.7133,49.5359992980957
29,0.09837591295670162,cutmix,1.7964292471313477,0.4327196484375,1.18199690284729,0.722,49.25151324272156
30,0.09823856960138173,cutmix,1.8065975607299805,0.42503125,1.1635214017868043,0.728,49.279202938079834
31,0.0980957560736774,cutmix,1.7992019487762452,0.43125869140625,1.148131070137024,0.7329,49.21925067901611
32,0.09794748857008045,cutmix,1.7938187841033935,0.4357353515625,1.135104934501648,0.7382,49.23834252357483
33,0.09779378390561846,cutmix,1.790959208908081,0.43436744140625,1.1240185842514039,0.7429,49.225759983062744
34,0.09763465951194782,cutmix,1.7835489993667601,0.44082775390625,1.1144587852478027,0.7478,49.21538257598877
35,0.09747013343537674,cutmix,1.799747614212036,0.43082525390625,1.108445715713501,0.7494,49.26796340942383
36,0.09730022433481866,cutmix,1.7753228954696656,0.44334697265625,1.0980295471191406,0.7544,49.222817182540894
37,0.09712495147967617,cutmix,1.791547136077881,0.43659345703125,1.092773443222046,0.7558,49.239031076431274
38,0.0969443347476556,cutmix,1.7829136642074586,0.439712109375,1.0888325521469115,0.7569,49.79447913169861
39,0.09675839462251272,cutmix,1.7896114170837403,0.43589154296875,1.0861749477386475,0.7598,50.12016844749451
40,0.09656715219172968,cutmix,1.7803274990081788,0.4404764453125,1.0816077602386474,0.7616,49.760483503341675
41,0.09637062914412342,cutmix,1.783359517364502,0.43734791015625,1.0792984298706054,0.7615,50.11489963531494
42,0.0961688477673861,cutmix,1.7803984475708008,0.44220783203125,1.0770481813430786,0.7636,50.24839401245117
43,0.09596183094555721,cutmix,1.7935115747070312,0.43426787109375,1.0742707335472106,0.7654,49.80350732803345
44,0.09574960215642855,cutmix,1.7719130992889405,0.44571271484375,1.0695088617324828,0.7656,49.74179458618164
45,0.0955321854688814,cutmix,1.7721762950134277,0.44538609375,1.0655628761291505,0.7676,49.40967893600464
46,0.09530960554015694,cutmix,1.7764134205627442,0.44417087890625,1.0620977130889893,0.7687,50.13206481933594
47,0.09508188761305995,cutmix,1.7665993915176392,0.446832734375,1.0583432704925537,0.7694,49.40688633918762
48,0.09484905751309591,cutmix,1.7787213130187989,0.44390263671875,1.0547316997528076,0.7722,50.18399786949158
49,0.09461114164554217,cutmix,1.7775626320266724,0.444604921875,1.0547585287094117,0.7749,49.97842478752136
50,0.0943681669924533,cutmix,1.7582769041061401,0.4548209375,1.0508049908638,0.7729,50.01586842536926
51,0.09412016110960114,cutmix,1.775810168762207,0.4454834765625,1.0492476319313049,0.7748,50.789170265197754
52,0.09386715212334962,cutmix,1.758065987854004,0.4528266015625,1.0477675004005431,0.7741,49.72767496109009
53,0.0936091687274649,cutmix,1.7682983901977538,0.446161875,1.0476616306304931,0.7752,50.75692582130432
54,0.09334624017986137,cutmix,1.7663152951049805,0.44729154296875,1.047119457435608,0.7762,50.485952377319336
55,0.09307839629928334,cutmix,1.7764681295776368,0.4430544140625,1.0462196479797363,0.775,50.727750301361084
56,0.09280566746192338,cutmix,1.7576942053985596,0.4532737890625,1.0447342198371887,0.7762,50.170119524002075
57,0.09252808459797739,cutmix,1.7611780186843873,0.45208603515625,1.0398494285583497,0.7763,51.56445097923279
58,0.09224567918813664,cutmix,1.7668365159606934,0.44841849609375,1.0364662930488586,0.7775,50.76098966598511
59,0.09195848326001775,cutmix,1.7545674607086181,0.4551217578125,1.0336629408836364,0.7802,50.54369020462036
60,0.09166652938453035,cutmix,1.764227919998169,0.44945666015625,1.033198519229889,0.7815,50.97783064842224
61,0.09136985067218312,cutmix,1.7500457722473144,0.45884017578125,1.0309067384719848,0.7822,50.05930137634277
62,0.09106848076932889,cutmix,1.7657927574539185,0.4469980859375,1.0300929995536805,0.7847,50.416733503341675
63,0.09076245385434864,cutmix,1.7544966373443605,0.45607986328125,1.026850986480713,0.7858,50.384087800979614
64,0.0904518046337755,cutmix,1.759332935447693,0.45165462890625,1.0264478538513184,0.7853,50.84894323348999
65,0.09013656833835854,cutmix,1.739840291442871,0.46339388671875,1.025103099822998,0.786,49.69769859313965
66,0.08981678071906728,cutmix,1.7471202278137208,0.45588849609375,1.0238213012695312,0.7855,50.14390420913696
67,0.08949247804303723,cutmix,1.7482210792160033,0.46093025390625,1.023173787689209,0.7857,49.55457901954651
68,0.08916369708945676,cutmix,1.7415904489898681,0.46233154296875,1.0199779850006103,0.7883,49.481499671936035
69,0.08883047514539602,cutmix,1.756441475906372,0.45345650390625,1.0171985747337342,0.7894,49.46158170700073
70,0.08849285000157817,cutmix,1.7556100708007814,0.4550984375,1.0160939754486085,0.7891,49.72909426689148
71,0.08815085994809357,cutmix,1.7611945755004883,0.45460791015625,1.0154790739059447,0.79,49.358131647109985
72,0.08780454377005725,cutmix,1.7570287957382202,0.45256150390625,1.0156483596801757,0.7896,49.334468126297
73,0.08745394074321038,cutmix,1.7421538765716553,0.461078671875,1.0141363364219667,0.7899,49.59431982040405
74,0.08709909062946586,cutmix,1.7458879299163819,0.45861939453125,1.0129365966796875,0.7908,50.237738370895386
75,0.08674003367239905,cutmix,1.7441801956939698,0.461155625,1.010285055923462,0.7916,50.632089138031006
76,0.0863768105926837,cutmix,1.75021824508667,0.45699560546875,1.010748279762268,0.7902,50.779322385787964
77,0.08600946258347382,cutmix,1.752121986465454,0.4560595703125,1.0083410346984862,0.791,49.89557194709778
78,0.0856380313057319,cutmix,1.748977968597412,0.45925115234375,1.0066574719429016,0.7927,50.213080644607544
79,0.08526255888350424,cutmix,1.742856597366333,0.46265060546875,1.0054430627822877,0.7935,49.712968826293945
80,0.08488308789914356,cutmix,1.7484140161895751,0.4574871484375,1.0025812637329101,0.7952,49.58114314079285
81,0.08449966138847986,cutmix,1.7415808142471314,0.46166064453125,1.000567896747589,0.7963,49.382240772247314
82,0.08411232283593956,cutmix,1.7390592473983764,0.46422544921875,0.9987090553283692,0.7974,49.891053199768066
83,0.08372111616961406,cutmix,1.7298234562683106,0.46753900390625,0.9949356462478638,0.7991,50.09152173995972
84,0.08332608575627778,cutmix,1.7266973335266114,0.46991193359375,0.9953893992424011,0.7985,49.80392789840698
85,0.08292727639635661,cutmix,1.7361607429122925,0.464094921875,0.9926307859420777,0.8003,49.473543643951416
86,0.08252473331884694,cutmix,1.738036223526001,0.462598515625,0.9912959341049195,0.8014,50.02595806121826
87,0.08211850217618638,cutmix,1.7489183456802369,0.459348515625,0.9933348880767823,0.7989,50.026164293289185
88,0.08170862903907622,cutmix,1.7423245421981812,0.45875728515625,0.9918769424438476,0.8003,49.953057289123535
89,0.08129516039125664,cutmix,1.7214192924880982,0.4722316015625,0.989568566608429,0.801,50.30279183387756
90,0.08087814312423487,cutmix,1.7319515142059325,0.46725609375,0.9893660058021545,0.8012,50.36301255226135
91,0.08045762453196734,cutmix,1.731058362121582,0.46670880859375,0.9884130395889282,0.8012,50.696709871292114
92,0.08003365230549596,cutmix,1.7479017184066772,0.45779767578125,0.9877093996047973,0.8031,49.68137311935425
93,0.07960627452753956,cutmix,1.7374841205596925,0.4631218359375,0.9877689081192017,0.804,50.8010151386261
94,0.0791755396670408,cutmix,1.7402691925430298,0.464261484375,0.9861298392295837,0.8038,50.7780339717865
95,0.07874149657366929,cutmix,1.7331513423919678,0.465177421875,0.986096796131134,0.8039,50.82063269615173
96,0.07830419447228151,cutmix,1.7428137032699584,0.458881875,0.9845658235549927,0.8045,49.310216188430786
97,0.07786368295733834,cutmix,1.7321454252243043,0.46736701171875,0.982445852470398,0.8048,49.451884508132935
98,0.07742001198728041,cutmix,1.733210585899353,0.4664723828125,0.9809064950942993,0.806,50.072123765945435
99,0.0769732318788624,cutmix,1.7225023878479004,0.46913669921875,0.9799922870635986,0.8062,49.704519271850586
100,0.07652339330144653,cutmix,1.7400798823165893,0.46445359375,0.9792486456871032,0.8055,49.614325761795044
101,0.07607054727125626,cutmix,1.7208219335174562,0.46965587890625,0.9769185264587402,0.8055,50.2663893699646
102,0.07561474514559043,cutmix,1.7412922332763672,0.46355841796875,0.9785756669044494,0.8065,49.79925012588501
103,0.07515603861699889,cutmix,1.731644846611023,0.4667499609375,0.9765740427017212,0.8075,50.25901532173157
104,0.07469447970741998,cutmix,1.732742777671814,0.46629810546875,0.9778299631118774,0.8061,49.95520281791687
105,0.07423012076228085,cutmix,1.710308655281067,0.4792703515625,0.9755038080215455,0.8074,49.629873514175415
106,0.07376301444456078,cutmix,1.7236346597671508,0.47138896484375,0.9753965978622436,0.8084,50.81850337982178
107,0.07329321372881878,cutmix,1.714447420578003,0.474850859375,0.9718037456512452,0.8091,50.243852615356445
108,0.07282077189518575,cutmix,1.736479877281189,0.46404041015625,0.9701633009910583,0.8103,50.0284366607666
109,0.07234574252332193,cutmix,1.7268029919052124,0.46959345703125,0.9688002297401428,0.811,50.1239447593689
110,0.07186817948634049,cutmix,1.7186821764373779,0.47606814453125,0.9683059363365173,0.8101,52.00600504875183
111,0.07138813694469763,cutmix,1.71390472114563,0.47560171875,0.9673021469116211,0.8119,51.28145408630371
112,0.07090566934005042,cutmix,1.7153786394500732,0.47455548828125,0.9653869924545289,0.8116,50.91069030761719
113,0.07042083138908249,cutmix,1.7113945166778564,0.476355234375,0.9660033576011657,0.811,50.13257384300232
114,0.0699336780772986,cutmix,1.7179061462402343,0.47638078125,0.9648866866111755,0.8134,50.692943811416626
115,0.06944426465278868,cutmix,1.7191036475372314,0.4729785546875,0.960431508731842,0.8147,51.37433362007141
116,0.06895264661996224,cutmix,1.7259510104370117,0.4689034765625,0.9597400471687317,0.8146,50.37030005455017
117,0.06845887973325364,cutmix,1.7101215616607666,0.4775136328125,0.9590110061645508,0.8138,49.95356106758118
118,0.06796301999079875,cutmix,1.715359707107544,0.4742121875,0.9574431308746338,0.8136,50.277854681015015
119,0.06746512362808448,cutmix,1.7177455224609375,0.47431041015625,0.9564823978424072,0.8123,49.90191864967346
120,0.06696524711157091,cutmix,1.7158814655303956,0.47261888671875,0.954582780456543,0.8143,49.840903759002686
121,0.06646344713228756,cutmix,1.7208402416229247,0.4710686328125,0.9539621545791626,0.8152,49.94756507873535
122,0.06595978059940392,cutmix,1.7148811589813233,0.47458923828125,0.954012377166748,0.8147,50.131425619125366
123,0.0654543046337755,cutmix,1.7228749633026124,0.46845498046875,0.9527661469459534,0.8153,50.11182188987732
124,0.06494707656146566,cutmix,1.718282945098877,0.4729794140625,0.9528358184814453,0.8155,49.917295932769775
125,0.06443815390724436,cutmix,1.697944633178711,0.48580458984375,0.9488442512512207,0.8177,50.3128080368042
126,0.06392759438806413,cutmix,1.700479012260437,0.4827196875,0.9477842254638672,0.8182,50.09408354759216
127,0.06341545590651453,cutmix,1.7107803076934816,0.47530509765625,0.9470100486755371,0.8198,50.33552384376526
128,0.0629017965442553,cutmix,1.722011030883789,0.47256751953125,0.9452532251358032,0.8193,50.54754948616028
129,0.06238667455542943,cutmix,1.7091489042663575,0.4772762109375,0.9437572492599487,0.8195,49.56575870513916
130,0.0618701483600564,cutmix,1.7158471319961548,0.47347650390625,0.9432714269638062,0.82,49.83099174499512
131,0.06135227653740691,cutmix,1.7158225682067871,0.47305361328125,0.9440581912994385,0.8193,50.049930572509766
132,0.06083311781935933,cutmix,1.7039428187561034,0.48081794921875,0.940993222618103,0.82,49.860934019088745
133,0.06031273108373891,cutmix,1.698523717918396,0.48460849609375,0.9401547025680542,0.8194,49.76557374000549
134,0.059791175347640495,cutmix,1.6895457319641114,0.4878083203125,0.937280274105072,0.8211,49.81223654747009
135,0.05926850976073529,cutmix,1.7047624877548218,0.4804314453125,0.9344812700271606,0.8241,49.50039458274841
136,0.058744793598562786,cutmix,1.7136376203918458,0.47567947265625,0.9347100606918335,0.8234,49.629048585891724
137,0.058220086255808316,cutmix,1.7011399787902832,0.4810009375,0.933947506904602,0.8243,49.570459842681885
138,0.057694447239567015,cutmix,1.6932887384033204,0.4866093359375,0.9309233032226563,0.8258,49.3246386051178
139,0.057167936162595204,cutmix,1.6919035269927978,0.48619708984375,0.9284874982833863,0.8268,50.47845697402954
140,0.05664061273654968,cutmix,1.6996395610046386,0.48238259765625,0.9280954381942749,0.8261,50.032567262649536
141,0.05611253676521577,cutmix,1.707234896888733,0.47925626953125,0.9283700626373291,0.8261,50.62998056411743
142,0.05558376813772503,cutmix,1.6974728209686278,0.48290197265625,0.9282235753059387,0.8269,50.266363859176636
143,0.05505436682176321,cutmix,1.7034896357345581,0.479164375,0.9272106860160828,0.827,50.33675718307495
144,0.05452439285676928,cutmix,1.6956924490737915,0.48499923828125,0.9268028338432313,0.8278,50.51077365875244
145,0.05399390634712639,cutmix,1.6961537840270997,0.4830279296875,0.9258738416671753,0.8284,50.08024263381958
146,0.053462967455345414,cutmix,1.6961521411895752,0.48367951171875,0.9245917727470397,0.8288,50.30506706237793
147,0.05293163639524188,cutmix,1.7051367303466798,0.478970546875,0.9243011384963989,0.8297,50.200583934783936
148,0.05239997342510721,cutmix,1.6934395514297484,0.48538509765625,0.9227341822624207,0.83,49.691102266311646
149,0.051868038840874736,cutmix,1.6893856645584107,0.48980626953125,0.9205235967636108,0.8306,50.094067335128784
150,0.05133589296928155,cutmix,1.6916010911941528,0.4870677734375,0.9197346025466919,0.8328,50.22206997871399
151,0.05080359616102688,cutmix,1.7060038070678711,0.48032880859375,0.9197215432167053,0.832,50.23344659805298
152,0.05027120878392767,cutmix,1.6751255404663086,0.4954337109375,0.9178999991416931,0.8319,50.382463455200195
153,0.04973879121607233,cutmix,1.6665255163955688,0.49834052734375,0.9159499599456787,0.8324,49.37277865409851
154,0.04920640383897312,cutmix,1.6647382704162597,0.50096224609375,0.9139089992523194,0.8328,49.29545474052429
155,0.04867410703071846,cutmix,1.6747573852539062,0.49540818359375,0.911613966178894,0.8331,50.43888735771179
156,0.04814196115912526,cutmix,1.6863533846282959,0.48960484375,0.910246411895752,0.8339,50.398868560791016
157,0.0476100265748928,cutmix,1.682180008468628,0.493650859375,0.9099107339859008,0.8353,49.56874203681946
158,0.047078363604758124,cutmix,1.6989979766464234,0.482595,0.9101938603401184,0.8364,49.66222929954529
159,0.04654703254465461,cutmix,1.6828923120880126,0.4890469140625,0.908863190460205,0.8366,50.233580350875854
160,0.04601609365287361,cutmix,1.6985665381622315,0.481263984375,0.9077797047615052,0.8358,50.30192804336548
161,0.04548560714323072,cutmix,1.6703456257629394,0.49826607421875,0.9064162769317627,0.8359,49.70944595336914
162,0.04495563317823679,cutmix,1.6772786640930175,0.49435166015625,0.9058574580192565,0.8373,49.6998724937439
163,0.04442623186227496,cutmix,1.68185796459198,0.4910137890625,0.9051325562477112,0.8377,50.05020523071289
164,0.04389746323478422,cutmix,1.682820749359131,0.48817669921875,0.9041725370407104,0.8372,51.01969242095947
165,0.043369387263450326,cutmix,1.6911212962341309,0.48814916015625,0.9035833433151245,0.8378,49.760146617889404
166,0.0428420638374048,cutmix,1.6749951846313476,0.49329529296875,0.9034943725585938,0.8395,49.67927598953247
167,0.04231555276043299,cutmix,1.6865585272216796,0.48964486328125,0.9015236276626587,0.8414,50.570290088653564
168,0.041789913744191706,cutmix,1.681896666984558,0.48926611328125,0.9015149241447449,0.8398,50.108354568481445
169,0.041265206401437216,cutmix,1.6834212548065186,0.48894564453125,0.9002933198928833,0.8405,49.76682448387146
170,0.04074149023926473,cutmix,1.6757273692703247,0.49465830078125,0.899134401512146,0.8403,49.62649583816528
171,0.040218824652359514,cutmix,1.682028279838562,0.49019826171875,0.8984716786384582,0.841,49.38862681388855
172,0.0396972689162611,cutmix,1.6749240955352782,0.49436869140625,0.8967274295806885,0.8403,49.645405769348145
173,0.03917688218064068,cutmix,1.6690300993347167,0.49790224609375,0.8949873896598816,0.8427,49.87012195587158
174,0.03865772346259311,cutmix,1.6471717902755738,0.508341875,0.8923436072349549,0.842,49.721198320388794
175,0.038139851639943614,cutmix,1.652181230506897,0.506431796875,0.8896351725578308,0.8438,50.19711947441101
176,0.0376233254445706,cutmix,1.661941658706665,0.49905693359375,0.8879169870376586,0.8443,50.592475175857544
177,0.037108203455744705,cutmix,1.6781908305358886,0.4924471875,0.8870554273605347,0.8448,50.90355968475342
178,0.03659454409348549,cutmix,1.6441856038665772,0.50782828125,0.8864967868804932,0.8443,50.2037878036499
179,0.03608240561193587,cutmix,1.6612528838348388,0.49860951171875,0.8856704739570618,0.8452,50.92169642448425
180,0.03557184609275566,cutmix,1.6543487074661254,0.5026444921875,0.8848581443786621,0.8445,50.383063316345215
181,0.03506292343853434,cutmix,1.6490869743728638,0.5070894921875,0.8828521995544434,0.8472,50.7750723361969
182,0.03455569536622451,cutmix,1.663310632019043,0.50004546875,0.8815026421546936,0.8485,49.90352964401245
183,0.03405021940059607,cutmix,1.6507685147094726,0.50660283203125,0.8797859624862671,0.8493,50.00861644744873
184,0.033546552867712444,cutmix,1.6451232001113891,0.51110798828125,0.8776329252243043,0.8497,50.21089267730713
185,0.03304475288842908,cutmix,1.6421584306335448,0.510484140625,0.8764180738449097,0.8501,50.04802393913269
186,0.03254487637191552,cutmix,1.665078631401062,0.49937859375,0.8767013019561768,0.8503,49.717395067214966
187,0.03204698000920125,cutmix,1.6459838706207275,0.5093955859375,0.8743115386962891,0.8507,49.699771881103516
188,0.031551120266746384,cutmix,1.6496928755187987,0.5082692578125,0.8735228876113892,0.8513,50.39994740486145
189,0.031057353380037747,cutmix,1.6565854581451416,0.501878125,0.8725829698562622,0.8518,50.41882514953613
190,0.03056573534721134,cutmix,1.649031372718811,0.50683564453125,0.8715967967033387,0.8524,50.388725996017456
191,0.03007632192270141,cutmix,1.6575668983078002,0.501832265625,0.8718665809631347,0.8519,50.07347106933594
192,0.029589168610917517,cutmix,1.6444097791290284,0.51009583984375,0.8690985105514526,0.8536,50.28220200538635
193,0.029104330659949603,cutmix,1.6356706011962892,0.51354615234375,0.8684538228988647,0.853,50.72046685218811
194,0.02862186305530239,cutmix,1.635817629814148,0.5117872265625,0.8668862760543823,0.8535,51.09033155441284
195,0.02814182051365953,cutmix,1.6495812629699707,0.5055628125,0.865822044467926,0.8528,49.85520911216736
196,0.027664257476678056,cutmix,1.6491819036102295,0.50663513671875,0.8652048759460449,0.853,49.42864537239075
197,0.027189228104814264,cutmix,1.6230808070755005,0.52134318359375,0.8638496751785278,0.855,50.092429876327515
198,0.026716786271181233,cutmix,1.6492163414382934,0.50901123046875,0.8622877952575684,0.8544,49.37014698982239
199,0.026246985555439247,cutmix,1.640215553894043,0.510581328125,0.8609381379127502,0.8553,49.35721516609192
200,0.025779879237719155,cutmix,1.6386069873809814,0.51230177734375,0.8598781642913819,0.8569,49.51640486717224
201,0.02531552029258003,cutmix,1.6499192282867432,0.502995390625,0.8588208786010743,0.8574,49.51089644432068
202,0.02485396138300113,cutmix,1.6314720835876464,0.51585748046875,0.8571021760940551,0.8581,49.54991126060486
203,0.02439525485440958,cutmix,1.6500550296020509,0.50613154296875,0.8564848682403564,0.8597,49.490286350250244
204,0.023939452728743735,cutmix,1.6344282662200929,0.51363453125,0.8560846391677857,0.8585,49.671067237854004
205,0.02348660669855348,cutmix,1.6370886715698243,0.50878177734375,0.8552272281646729,0.8593,49.620688676834106
