step,epoch,loss,grad_norm,grad_change_norm,relative_grad_change,grad_cosine,param_distance,grad_diff_over_distance
1,1,2.477267026901245,14.102200508117676,nan,nan,nan,nan,nan
2,1,2.3629090785980225,13.197277069091797,18.328655242919922,1.2997017899701586,0.09967337548732758,0.15613813698291779,117.38743395412597
3,1,2.289005994796753,12.643949508666992,17.34087562561035,1.31397374888958,0.0998755693435669,0.11309271305799484,153.3332710531445
4,1,2.247427225112915,12.972325325012207,17.97265625,1.4214432157989036,0.015651393681764603,0.09463878720998764,189.90793077189136
5,1,2.132556915283203,12.218873977661133,16.977764129638672,1.3087679891054063,0.09254363179206848,0.082241490483284,206.43794305847425
6,1,2.1166677474975586,11.971576690673828,16.62908363342285,1.3609342124178725,0.055008333176374435,0.07493089139461517,221.92560803295015
7,1,2.092707633972168,11.929290771484375,16.644685745239258,1.3903503419231749,0.030043357983231544,0.06910885125398636,240.84737979258924
8,1,1.9268743991851807,11.064133644104004,15.774216651916504,1.3223096790985822,0.06022220477461815,0.06381583213806152,247.1834358837913
9,1,2.0185999870300293,11.419549942016602,15.787318229675293,1.426891498015013,0.014174247160553932,0.06021694466471672,262.1740162559838
10,1,1.9150373935699463,11.231874465942383,15.749858856201172,1.379201363991626,0.03314712271094322,0.05679500102996826,277.3106535839896
11,1,1.9009135961532593,11.124683380126953,15.58752727508545,1.3877939361189457,0.02778119593858719,0.05411887541413307,288.0238577671325
12,1,1.8686983585357666,10.34901237487793,14.727587699890137,1.3238657853578162,0.06062215194106102,0.05235521122813225,281.3012755394099
13,1,1.86928391456604,10.534605979919434,14.375285148620605,1.3890489863085875,0.052425581961870193,0.050733957439661026,283.3464187262366
14,1,1.9058849811553955,10.272031784057617,14.711843490600586,1.396525272861862,0.00025060633197426796,0.04903727024793625,300.01350841750263
15,1,1.8459179401397705,10.14925765991211,14.552783966064453,1.41673860361776,-0.01564180478453636,0.04749471694231033,306.40847872479475
16,1,1.818694829940796,10.0421142578125,14.368966102600098,1.4157652297422425,-0.012832093983888626,0.04638010635972023,309.8088217143313
17,1,1.870400309562683,10.649969100952148,14.263289451599121,1.4203472580986856,0.0506061315536499,0.04489962011575699,317.67060421689223
18,1,1.7758169174194336,9.99533748626709,14.470020294189453,1.3586912935638864,0.018539726734161377,0.04436259716749191,326.1761307443614
19,1,1.7925347089767456,9.88878345489502,13.461533546447754,1.3467812932721515,0.08337536454200745,0.042869459837675095,314.01220349185047
20,1,1.7108286619186401,9.353860855102539,13.29686164855957,1.3446407952209918,0.0458182729780674,0.041992004960775375,316.65222131364015
21,1,1.6211051940917969,9.331857681274414,13.126681327819824,1.4033436600307994,0.012994351796805859,0.04151296615600586,316.2067793029654
22,1,1.720251202583313,9.523674964904785,12.932472229003906,1.3858411337490935,0.05927017331123352,0.040601857006549835,318.5192299603227
23,1,1.7094752788543701,9.843337059020996,13.762741088867188,1.4451082318098976,-0.009714517742395401,0.039979301393032074,344.24666287244395
24,1,1.7917972803115845,9.61012077331543,13.570326805114746,1.3786307147408658,0.0269143208861351,0.03937949985265732,344.6038384323061
25,1,1.7182530164718628,9.270698547363281,12.8931884765625,1.3416260607631356,0.06771604716777802,0.038756050169467926,332.67550278864843
26,1,1.6826412677764893,9.496585845947266,13.249523162841797,1.429182827502111,0.0033003869466483593,0.03847185894846916,344.395189747508
27,1,1.7104237079620361,9.143494606018066,12.993885040283203,1.3682691075579616,0.028489526361227036,0.037757858633995056,344.1372342085126
28,1,1.7917039394378662,10.203862190246582,13.612752914428711,1.4887910477321853,0.012943768873810768,0.03757186233997345,362.3124345258638
29,1,1.6949795484542847,9.312689781188965,13.52451229095459,1.325430708372438,0.041739221662282944,0.03728250414133072,362.7576151892329
30,1,1.6457796096801758,9.038910865783691,12.840855598449707,1.378855722692066,0.02103036269545555,0.03672458603978157,349.65283432168076
31,1,1.7359403371810913,9.413002967834473,12.94559383392334,1.4322072676838482,0.015973329544067383,0.036459460854530334,355.0681642062651
32,1,1.7527775764465332,9.425384521484375,12.974494934082031,1.3783587425199257,0.05131235718727112,0.036414552479982376,356.2997222294028
33,1,1.659554362297058,9.159379005432129,12.936488151550293,1.3725156912231302,0.031155558302998543,0.03662512078881264,353.2135286540436
