epoch,lr,train_loss,train_acc,test_loss,test_acc,time_sec
1,0.001,2.188600816116333,0.19303998046875,2.2910758548736574,0.1071,228.12612915039062
2,0.0009990232305719944,2.1070340909576415,0.25056505859375,2.2006545444488523,0.1945,185.47776746749878
3,0.0009960967771506664,2.0451969816589357,0.28734744140625,2.0385137632369994,0.2455,187.29930520057678
4,0.0009912321891107007,2.0029218867492675,0.31430998046875,1.8107390087127686,0.358,185.856951713562
5,0.0009844486647586721,1.9631984095764161,0.3368092578125,1.5699412000656128,0.5078,185.24661445617676
6,0.0009757729755661009,1.9251366548919677,0.3585925390625,1.4117299392700196,0.5915,184.4993770122528
7,0.0009652393605146842,1.9014135113143922,0.3730803515625,1.3141966243743897,0.6377,185.24719882011414
8,0.0009528893909706795,1.8602306715393067,0.3951361328125,1.2592816617965699,0.6655,183.87763118743896
9,0.0009387718066217122,1.84690912273407,0.40224263671875,1.215306972694397,0.6854,185.00001072883606
10,0.0009229423231234972,1.8390029314422607,0.4063079296875,1.181787112045288,0.7048,186.69787406921387
11,0.0009054634122155987,1.8066562297058106,0.424034765625,1.1457320030212403,0.7228,186.75500416755676
12,0.0008864040551740153,1.8000617515563966,0.42947931640625,1.117085237121582,0.7371,184.93963599205017
13,0.0008658394705735984,1.7835108137512208,0.437701640625,1.0951865142822266,0.7481,186.07012391090393
14,0.0008438508174347006,1.7769868797683717,0.44085255859375,1.073350982284546,0.7553,186.26758694648743
15,0.000820524874925601,1.758177499923706,0.4504173828125,1.0502572114944457,0.7689,184.37621021270752
16,0.000795953699884774,1.748267205657959,0.45364880859375,1.0351183309555054,0.7768,184.59004855155945
17,0.000770234263514603,1.7275707818222046,0.46683650390625,1.016787865447998,0.7866,186.90295004844666
18,0.0007434680686803488,1.7204396648406983,0.46729880859375,1.0052995281219483,0.7938,188.1343469619751
19,0.0007157607493247108,1.719667776374817,0.46916376953125,0.9962838445663452,0.8016,184.77817249298096
20,0.0006872216535789154,1.7068921421813965,0.47512978515625,0.9790884647369384,0.8059,185.59608793258667
21,0.0006579634122155987,1.6907304581069946,0.48488892578125,0.9639959865570068,0.8135,185.20761585235596
22,0.0006281014941466028,1.6851919299697875,0.48641447265625,0.9512653065681458,0.8229,186.91995906829834
23,0.0005977537507199335,1.6686029931640625,0.4947553125,0.9334944744110107,0.8339,185.7641921043396
24,0.0005670399506143305,1.657950835723877,0.4991777734375,0.9263740299224853,0.8376,187.5919258594513
25,0.0005360813071670099,1.6449603016662597,0.50808130859375,0.9033480777740478,0.845,184.08276557922363
26,0.0005049999999999998,1.6335380550384522,0.51115017578125,0.8890494072914124,0.8501,184.54848980903625
27,0.0004739186928329897,1.6320896342086793,0.50951060546875,0.8841313484191895,0.8523,182.9348213672638
28,0.0004429600493856692,1.6217131665039062,0.5163625390625,0.8752761220932007,0.8573,185.6042239665985
29,0.0004122462492800661,1.6127041262054442,0.52083107421875,0.8640754156112671,0.8651,185.30983424186707
30,0.0003818985058533967,1.5935392835235596,0.52895505859375,0.8521531074523926,0.87,185.40305256843567
31,0.00035203658778440103,1.5936860852813721,0.530436640625,0.8446585800170898,0.8719,185.79850435256958
32,0.00032277834642108444,1.5812362916946412,0.53759115234375,0.8405258321762085,0.8755,185.42209100723267
33,0.0002942392506752889,1.5596248527908325,0.54724369140625,0.8316360605239869,0.8789,188.5955193042755
34,0.00026653193131965077,1.5540046245574952,0.54957875,0.8243573221206665,0.8812,186.0798041820526
35,0.00023976573648539642,1.5679419403839112,0.5412643359375,0.8159355302810669,0.8845,187.17138075828552
36,0.00021404630011522574,1.5668930933380127,0.54366869140625,0.8139427583694459,0.8864,184.31348395347595
37,0.00018947512507439847,1.5337122536849976,0.55812146484375,0.8090586827278137,0.8874,184.99305534362793
38,0.000166149182565299,1.535311632232666,0.55659939453125,0.8031285835266113,0.892,182.2022669315338
39,0.00014416052942640132,1.536420429916382,0.5575027734375,0.8026527632713318,0.8923,184.29309034347534
40,0.00012359594482598432,1.5260015531539917,0.56106171875,0.8013315640449524,0.8924,186.3718364238739
41,0.00010453658778440102,1.5173661199951172,0.56626720703125,0.7975922484397888,0.8949,185.00960683822632
42,8.70576768765026e-05,1.4997373663330078,0.57317052734375,0.7890331048965454,0.8974,186.40196633338928
43,7.12281933782875e-05,1.5067521222305298,0.56936529296875,0.7896305780410766,0.8978,185.22294521331787
44,5.71106090293204e-05,1.5133636497497558,0.56620509765625,0.7878389463424683,0.9003,185.34734439849854
45,4.4760639485315563e-05,1.4883404706954957,0.577969453125,0.7846195272445678,0.9017,186.04692101478577
46,3.422702443389899e-05,1.501281399307251,0.5698023046875,0.783993640422821,0.9031,189.14525699615479
47,2.5551335241327665e-05,1.5050420655059815,0.57007876953125,0.7848811039924621,0.9027,187.47034764289856
48,1.876781088929908e-05,1.5023743265914917,0.56832669921875,0.7837699254989624,0.9039,188.16712737083435
49,1.3903222849333505e-05,1.4961887094497681,0.57444421875,0.7815637687683106,0.9045,184.01451802253723
50,1.0976769428005579e-05,1.4886952855300903,0.5777717578125,0.7792776657104492,0.9053,184.47115898132324
