epoch,lr,train_loss,train_acc,test_loss,test_acc,time_sec
1,0.1,2.5469191050720217,0.10986,2.2947019077301025,0.1079,1743.1478390693665
2,0.1,2.2857524771118163,0.1134,2.276233480834961,0.1187,57.88467001914978
3,0.1,2.270077777786255,0.12408,2.259076515197754,0.1224,59.677295446395874
4,0.1,2.206108783798218,0.16604,2.0982983253479004,0.19,77.72930645942688
5,0.1,1.9647287236785889,0.23112,1.8516223905563354,0.2677,75.89723348617554
6,0.1,1.7388996858978272,0.31838,1.6559211250305175,0.371,78.0493574142456
7,0.1,1.5481433065795898,0.4212,1.6060689754486084,0.4396,76.26818943023682
8,0.1,1.3222719289016724,0.52082,1.3828356161117554,0.5141,75.44302892684937
9,0.1,1.151159585647583,0.58758,1.1304420402526856,0.5937,78.52525210380554
10,0.1,1.0284930110931396,0.63438,13.803680636787414,0.5421,66.40786743164062
11,0.1,0.9252585518264771,0.67376,1.1297905670166015,0.6205,81.05223155021667
12,0.1,0.8347415109825135,0.7086,1.4070647262573241,0.5754,78.88635540008545
13,0.1,0.7675905835533142,0.73304,1.1874829879760742,0.6352,78.02708125114441
14,0.1,0.7072334161949158,0.7548,1.719723051261902,0.5499,75.27857422828674
15,0.1,0.6668407349967956,0.76978,0.938880114364624,0.7029,77.43550825119019
16,0.1,0.6336964971542358,0.78146,0.9586240734100342,0.6889,66.84102177619934
17,0.1,0.5940101201820374,0.79364,0.9262966057777405,0.7103,41.595274448394775
18,0.1,0.5679020605659485,0.80452,0.9367457559585571,0.7114,41.236674785614014
19,0.1,0.5350044212532044,0.81472,0.6602653803825378,0.7763,39.29991149902344
20,0.1,0.5188634000587463,0.82204,0.7094382923126221,0.7577,39.5624418258667
21,0.1,0.5093934008979797,0.8226,0.7727574828147888,0.7524,39.687899589538574
22,0.1,0.47889509366989136,0.83464,0.7405093284606934,0.7669,38.76317119598389
23,0.1,0.45848595224380495,0.84108,0.5759727390289306,0.8108,48.13324975967407
24,0.1,0.44156402709007264,0.8461,0.7977634266376495,0.7526,74.91417169570923
25,0.1,0.42617192770004275,0.85232,0.594183567237854,0.8036,78.31573009490967
26,0.1,0.41194693750381467,0.8584,0.5408804731369019,0.8194,78.71281599998474
27,0.1,0.40048339338302613,0.861,0.6758074324607849,0.7886,78.97407412528992
28,0.1,0.387993323392868,0.8667,0.5456661992073059,0.8184,78.04331350326538
29,0.1,0.3820810598087311,0.8676,0.5465324776649475,0.8196,75.94728255271912
30,0.1,0.3702324694061279,0.87096,0.5978309714317321,0.8128,74.25424146652222
31,0.1,0.36227324135780337,0.87514,0.5908508868694305,0.8091,75.74731492996216
32,0.1,0.3537047685813904,0.87668,0.5394213210582733,0.824,77.15941905975342
33,0.1,0.34142918474197387,0.88178,0.6106457948684693,0.8068,77.77587032318115
34,0.1,0.33248101046562195,0.88514,0.5060679965972901,0.8361,77.46995067596436
35,0.1,0.32928683237075806,0.88566,0.53249198513031,0.8298,76.55197286605835
36,0.1,0.32285735416412353,0.88692,0.5746442247390747,0.8155,72.84939217567444
37,0.1,0.31148051933288573,0.8913,0.5006691720962524,0.8387,73.11509823799133
38,0.1,0.3074740323448181,0.89322,0.6061524293899536,0.8098,73.08959174156189
39,0.1,0.2987270765399933,0.8961,0.7301171581268311,0.7798,73.00337266921997
40,0.1,0.29715333523750304,0.89716,0.44483166823387144,0.8556,73.15247416496277
41,0.1,0.28797275581359866,0.89916,0.613039894104004,0.813,72.50967502593994
42,0.1,0.2833746043777466,0.9007,0.5572205916643143,0.8292,73.55186700820923
43,0.1,0.2805822711467743,0.90214,0.4589463440895081,0.8485,74.19166731834412
44,0.1,0.27110749851226806,0.90528,0.48693976430892943,0.8445,74.54373478889465
45,0.1,0.2684269583749771,0.90662,0.46015465030670166,0.8554,74.45697355270386
46,0.1,0.25848747735977173,0.91014,0.42704343338012696,0.8606,74.2796983718872
47,0.1,0.2578365836620331,0.91068,0.47578668432235716,0.8519,72.99804210662842
48,0.1,0.25542809000968936,0.91076,0.5106678947448731,0.8336,72.34888029098511
49,0.1,0.25192456860542295,0.91226,0.41423643169403074,0.8635,72.14591908454895
50,0.1,0.2500477440071106,0.9127,0.42448781461715696,0.8666,72.84038066864014
51,0.1,0.24635411805152893,0.9157,0.4542713483810425,0.8515,73.67389607429504
52,0.1,0.24071701308250426,0.91476,0.4466551638126373,0.8583,73.93979978561401
53,0.1,0.2395708820772171,0.91582,0.5913905928611756,0.8347,74.91955471038818
54,0.1,0.23015761862754822,0.92052,0.4615598617553711,0.8573,73.36470007896423
55,0.1,0.22294230501174928,0.92196,0.4883993446350098,0.8574,74.67103481292725
56,0.1,0.22960368100643158,0.91974,0.44024335651397706,0.8627,73.5617904663086
57,0.1,0.2176497514629364,0.92366,0.4284771459579468,0.8688,74.37804198265076
58,0.1,0.22652493124961853,0.92132,0.5352503173828125,0.8383,74.65757179260254
59,0.1,0.21732569712638855,0.92494,0.4634416581630707,0.854,72.53853797912598
60,0.1,0.21840087490081786,0.92286,0.45582939410209655,0.8587,73.09108257293701
61,0.1,0.21384018231868743,0.9252,0.4443799675941467,0.8661,73.45530343055725
62,0.1,0.2105434930896759,0.92614,0.45247698211669923,0.8619,72.9915816783905
63,0.1,0.20845133233070373,0.92744,0.4348317469596863,0.8667,73.98481512069702
64,0.1,0.2014520201253891,0.93034,0.3783150248527527,0.8798,76.67821907997131
65,0.1,0.21036583299160003,0.92592,0.5221598789215088,0.8431,76.96382093429565
66,0.1,0.19913882159233093,0.93,0.42320737915039064,0.8703,74.96406674385071
67,0.1,0.2023196017742157,0.92922,0.5691970853805542,0.8321,69.60099625587463
68,0.1,0.1979388042664528,0.92938,0.3843631843566895,0.8762,69.70773410797119
69,0.1,0.19825956904411315,0.93108,0.6575961587905884,0.8172,73.82567000389099
70,0.1,0.1955599310684204,0.93102,0.4412987630844116,0.869,76.26567602157593
71,0.1,0.19110307205200194,0.93316,0.38926877369880675,0.8787,77.9733874797821
72,0.1,0.1903724067735672,0.93474,0.40922648429870606,0.8766,77.62535166740417
73,0.1,0.1870672605705261,0.93416,0.5708214896202087,0.833,75.81987071037292
74,0.1,0.18621876339912413,0.9348,0.4120568030357361,0.875,74.9695029258728
75,0.1,0.19066067427873612,0.93264,0.5895405351638794,0.8449,74.19951581954956
76,0.1,0.1887261936569214,0.93446,0.47478549757003785,0.8565,76.71165251731873
77,0.1,0.18964988358974458,0.93412,0.395454069519043,0.8777,77.30379295349121
78,0.1,0.17577519048690796,0.93942,0.4263100154876709,0.8705,79.47985005378723
79,0.1,0.17996108878850936,0.9374,0.5751517225265503,0.8448,78.99580979347229
80,0.1,0.18018662793159484,0.93704,0.44274387254714964,0.8675,75.05742120742798
81,0.1,0.178197305021286,0.93802,0.5178539264678955,0.8559,74.19686913490295
82,0.1,0.17710580147147179,0.93896,0.5570481093406677,0.8454,76.00951337814331
83,0.1,0.17861653142929076,0.93812,0.4256481070995331,0.8776,66.17836284637451
84,0.1,0.17130467351436615,0.93924,0.42369973340034484,0.8737,74.58389019966125
85,0.1,0.17651391067504882,0.93848,0.5503329172134399,0.8519,75.7973780632019
86,0.1,0.16982434729337692,0.94066,0.480794725894928,0.8557,75.91091418266296
87,0.1,0.17204309576034546,0.9389,0.3842665240049362,0.882,75.11375975608826
88,0.1,0.17478850211143493,0.93886,0.3611023551940918,0.8902,75.48053002357483
89,0.1,0.1713994210767746,0.94038,0.3560378581762314,0.8864,76.49981212615967
90,0.1,0.1608568300485611,0.94346,0.37858816928863526,0.8855,76.48638939857483
91,0.1,0.16655886718273163,0.94228,0.53073298869133,0.8475,77.12240815162659
92,0.1,0.16373382793903352,0.942,0.5444795498847962,0.8545,76.49520254135132
93,0.1,0.1629560484313965,0.94326,0.38924634685516357,0.8829,75.878488779068
94,0.1,0.16660757111549376,0.94172,0.3966654287338257,0.8847,72.72175359725952
95,0.1,0.16424464118957519,0.94198,0.39520867624282835,0.8806,74.61552953720093
