step,epoch,loss,grad_norm,grad_change_norm,relative_grad_change,grad_cosine,param_distance,grad_diff_over_distance
1,1,2.477267026901245,14.102200508117676,nan,nan,nan,nan,nan
2,1,6.233958721160889,25.901342391967773,30.63149642944336,2.1721075666034335,-0.09381790459156036,6.24552583694458,4.904550430044161
3,1,4.889310836791992,15.63642406463623,32.16161346435547,1.2416967807169648,-0.1469021886587143,4.362198352813721,7.372799415139639
4,1,3.4249918460845947,10.600238800048828,18.252138137817383,1.1672833930806312,0.07156052440404892,3.464185953140259,5.268810157626407
5,1,2.8183841705322266,5.698000907897949,10.687621116638184,1.008243429061989,0.253368616104126,2.8893985748291016,3.6989085582513037
6,1,2.843672513961792,4.41035270690918,6.993931770324707,1.227436057552966,0.059755586087703705,2.473360538482666,2.827704114100749
7,1,2.6372439861297607,3.609117269515991,3.353041887283325,0.7602661533236899,0.6670039892196655,2.1572771072387695,1.5542935471899266
8,1,2.4484474658966064,3.9326512813568115,2.6294126510620117,0.7285473024859362,0.7601302266120911,1.9047633409500122,1.380440600956335
9,1,2.443105936050415,3.5228028297424316,5.2037858963012695,1.3232258657077212,0.028746165335178375,1.7036300897598267,3.054528050177742
10,1,2.3633642196655273,2.8696799278259277,2.74214243888855,0.7783979323896086,0.6491960883140564,1.525544285774231,1.7974846515157599
11,1,2.2941975593566895,1.5813173055648804,2.040037155151367,0.7108936210513869,0.724334180355072,1.375581979751587,1.4830356788464831
12,1,2.440445899963379,2.500293254852295,3.0161566734313965,1.9073696738884758,-0.043650899082422256,1.2479796409606934,2.416831632851915
13,1,2.3506903648376465,1.5719832181930542,1.7543295621871948,0.7016495200240542,0.7181073427200317,1.1360275745391846,1.5442667075200813
14,1,2.3687751293182373,2.1655526161193848,1.983696460723877,1.2619068942751261,0.4737802743911743,1.0400657653808594,1.9072798343627473
15,1,2.322580099105835,1.668670415878296,3.0387585163116455,1.4032254370967998,-0.2435212880373001,0.9559566378593445,3.1787618768076142
16,1,2.3253231048583984,2.3804221153259277,2.493314504623413,1.4941923107743094,0.2812405228614807,0.8810731172561646,2.829861058960982
17,1,2.2988338470458984,1.0624459981918335,1.9687552452087402,0.8270613991243108,0.5771299600601196,0.8155373334884644,2.414059006698035
18,1,2.2792892456054688,0.6963639259338379,1.3068984746932983,1.2300846131627075,-0.06370866298675537,0.7559378743171692,1.7288437569979904
19,1,2.3087925910949707,1.7769041061401367,1.906137466430664,2.737271985868249,0.0036170408129692078,0.7033630609512329,2.7100335122093004
20,1,2.2891180515289307,0.7759876847267151,1.795685052871704,1.0105694768027484,0.19402338564395905,0.6571442484855652,2.7325584253491577
21,1,2.314307451248169,1.2963746786117554,1.1972270011901855,1.5428427857205986,0.4221750497817993,0.6162609457969666,1.942727361442569
22,1,2.3270182609558105,1.2565034627914429,1.1046370267868042,0.8520970403162079,0.6259334683418274,0.578761875629425,1.9086209256329503
23,1,2.2652647495269775,1.2685273885726929,1.761592149734497,1.4019795423560149,0.026587333530187607,0.5474835634231567,3.217616504716368
24,1,2.327618360519409,1.3854196071624756,1.5434749126434326,1.2167454376991302,0.32610857486724854,0.5189024806022644,2.974499005765059
25,1,2.302353620529175,1.2727051973342896,1.499299168586731,1.0821986067141158,0.36616525053977966,0.4951822757720947,3.0277722809161056
26,1,2.2842609882354736,1.1448017358779907,1.1250773668289185,0.8840046926692332,0.5712271332740784,0.47583189606666565,2.3644429390435966
27,1,2.3311479091644287,1.4373513460159302,1.7186459302902222,1.5012607654465406,0.1284746527671814,0.45754531025886536,3.756231113622622
28,1,2.2999815940856934,1.0958871841430664,1.5051199197769165,1.0471482313268645,0.3179207146167755,0.43957245349884033,3.4240542322278693
29,1,2.3479998111724854,1.4557064771652222,1.9160577058792114,1.7484078047465554,-0.11008240282535553,0.4238242506980896,4.520877941077493
30,1,2.2696917057037354,1.3127310276031494,1.647993803024292,1.1320921002099196,0.2947382628917694,0.4055156707763672,4.063946036573911
31,1,2.2707247734069824,0.9492582082748413,1.5652947425842285,1.1923956314501305,0.06989938765764236,0.3941049575805664,3.971771256544687
