epoch,lr,train_loss,train_acc,test_loss,test_acc,time_sec
1,0.01,nan,0.0997949609375,nan,0.1,174.00547099113464
2,0.009990143508499217,nan,0.1007222265625,nan,0.1,175.2486183643341
3,0.009960612933065818,nan,0.10013451171875,nan,0.1,174.8959379196167
4,0.009911524817389801,nan,0.09977015625,nan,0.1,175.24361324310303
5,0.009843072889837512,nan,0.1007981640625,nan,0.1,176.84554862976074
6,0.009755527298894293,nan,0.1002612890625,nan,0.1,174.7398681640625
7,0.009649233547011816,nan,0.10014015625,nan,0.1,175.5739815235138
8,0.009524611127067768,nan,0.10022537109375,nan,0.1,177.64241218566895
9,0.009382151866819097,nan,0.10008234375,nan,0.1,179.01546621322632
10,0.009222417987882564,nan,0.10007345703125,nan,0.1,179.54523134231567
11,0.00904603988690286,nan,0.10050162109375,nan,0.1,177.56226658821106
12,0.008853713647665065,nan,0.1002635546875,nan,0.1,175.0709388256073
13,0.008646198293969948,nan,0.1001684375,nan,0.1,175.08485794067383
14,0.008424312794113797,nan,0.09976787109375,nan,0.1,174.38502883911133
15,0.008188932828794702,nan,0.0998191796875,nan,0.1,178.54143977165222
16,0.007940987335200902,nan,0.09993044921875,nan,0.1,177.29662990570068
17,0.007681454840920085,nan,0.100016484375,nan,0.1,175.2333323955536
18,0.007411359602138065,nan,0.09971265625,nan,0.1,174.72379612922668
19,0.007131767561367536,nan,0.099482265625,nan,0.1,176.5743625164032
20,0.006843782140659965,nan,0.100663515625,nan,0.1,175.47472882270813
21,0.00654853988690286,nan,0.1003419140625,nan,0.1,176.1234314441681
22,0.006247205986388447,nan,0.099948515625,nan,0.1,176.61169362068176
23,0.005940969666355694,nan,0.10035603515625,nan,0.1,176.19786310195923
24,0.0056310395016536995,nan,0.10032935546875,nan,0.1,175.56044006347656
25,0.005318638645048919,nan,0.1002891796875,nan,0.1,175.11121273040771
26,0.005004999999999999,nan,0.10019330078125,nan,0.1,177.36640882492065
27,0.004691361354951079,nan,0.10069498046875,nan,0.1,179.54089617729187
28,0.0043789604983462994,nan,0.1003438671875,nan,0.1,177.23032474517822
29,0.004069030333644304,nan,0.10047212890625,nan,0.1,178.13978695869446
30,0.0037627940136115497,nan,0.09962802734375,nan,0.1,176.56845045089722
31,0.003461460113097139,nan,0.1,nan,0.1,177.31039881706238
32,0.0031662178593400347,nan,0.1,nan,0.1,175.43570923805237
33,0.0028782324386324616,nan,0.1,nan,0.1,175.91166806221008
34,0.002598640397861931,nan,0.1,nan,0.1,175.9609444141388
35,0.0023285451590799103,nan,0.1,nan,0.1,176.68047618865967
36,0.0020690126647990967,nan,0.1,nan,0.1,177.10883688926697
37,0.001821067171205294,nan,0.1,nan,0.1,178.17097735404968
38,0.0015856872058861993,nan,0.1,nan,0.1,176.04300665855408
39,0.00136380170603005,nan,0.1,nan,0.1,177.0333685874939
40,0.0011562863523349328,nan,0.1,nan,0.1,175.89307713508606
41,0.0009639601130971376,nan,0.1,nan,0.1,177.96637415885925
42,0.0007875820121174355,nan,0.1,nan,0.1,175.84997606277466
43,0.0006278481331809012,nan,0.1,nan,0.1,176.45209431648254
44,0.0004853888729322332,nan,0.1,nan,0.1,174.74077486991882
45,0.0003607664529881844,nan,0.1,nan,0.1,176.57644844055176
46,0.00025447270110570805,nan,0.1,nan,0.1,174.55731439590454
47,0.00016692711016248827,nan,0.1,nan,0.1,175.60341095924377
48,9.84751826101998e-05,nan,0.1,nan,0.1,175.74231004714966
49,4.9387066934183544e-05,nan,0.1,nan,0.1,177.08401703834534
50,1.9856491500783562e-05,nan,0.1,nan,0.1,174.1660225391388
