epoch,lr,train_loss,train_acc,test_loss,test_acc,time_sec
1,0.1,2.1973341595458984,0.17016,2.124513163757324,0.2208,40.63883137702942
2,0.09996145181203615,1.877304200668335,0.29594,1.7419337156295776,0.3629,9.866084337234497
3,0.0998458666866564,1.7034630878448487,0.36564,1.5420736499786376,0.4357,9.787360668182373
4,0.09965342284774632,1.6161343096542358,0.40562,1.4137840747833252,0.4847,9.968731164932251
5,0.0993844170297569,1.5444799782562255,0.4362,1.4397636180877686,0.4725,9.907763242721558
6,0.09903926402016153,1.5224295592880248,0.44336,1.3435376945495605,0.5069,9.848067045211792
7,0.09861849601988383,1.464467194595337,0.46944,1.404865037918091,0.4984,10.275235891342163
8,0.09812276182268237,1.456253433456421,0.4745,1.4082613286972046,0.5031,9.898845195770264
9,0.0975528258147577,1.4211183838653565,0.48996,1.2682573905944825,0.5398,10.206494092941284
10,0.09690956679612422,1.4163392139053346,0.4969,1.2176840253829957,0.5661,25.451303243637085
11,0.09619397662556435,1.4089067919540406,0.49904,1.4572631475448607,0.5077,25.77607035636902
12,0.09540715869125407,1.380770560569763,0.50838,1.1914427682876587,0.5821,25.98019576072693
13,0.0945503262094184,1.3593990865707397,0.52162,1.2259260402679444,0.5611,25.589774131774902
14,0.09362480035363988,1.3795967957305908,0.51268,1.2729884117126464,0.5554,25.057312488555908
15,0.09263200821770462,1.3267486574554443,0.53066,1.119291995048523,0.5975,25.4561448097229
16,0.09157348061512728,1.3268486875152588,0.53288,1.2966851383209228,0.5423,26.035987854003906
17,0.09045084971874738,1.3065053928756714,0.54192,1.256078045463562,0.5718,25.89868712425232
18,0.08926584654403726,1.2875882857513428,0.54544,1.278069123840332,0.5659,25.684290409088135
19,0.08802029828000157,1.2656754731750488,0.55782,1.0488634628295899,0.6302,24.839985370635986
20,0.0867161254717843,1.253519776535034,0.56232,1.0616941606521606,0.6217,9.710380554199219
21,0.08535533905932739,1.2438990297698975,0.56172,1.0625173427581787,0.6262,16.981785774230957
22,0.08394003727664712,1.2160718888092041,0.57612,1.1201260278701781,0.6006,25.080993175506592
23,0.08247240241650922,1.2035791124725341,0.57952,1.1190529228210448,0.6034,25.002060174942017
24,0.08095469746549172,1.1770389274215698,0.59024,1.0508240760803222,0.6244,25.026825666427612
25,0.07938926261462369,1.1763359732055665,0.59132,1.2386585557937622,0.5857,25.03312849998474
26,0.07777851165098014,1.1477501807785033,0.59998,0.9797130899429322,0.6546,24.779940605163574
27,0.07612492823579747,1.1320359533691406,0.60714,1.0094672355651855,0.6533,24.895034551620483
28,0.07443106207484779,1.1151770534515382,0.61336,0.9385541938781738,0.6722,25.34919500350952
29,0.07269952498697738,1.1078334857940675,0.61482,1.090586872291565,0.6391,25.007981777191162
