epoch,lr,train_loss,train_accuracy,val_loss,val_accuracy,mean_grad_norm,max_grad_norm
1,0.001,1.8422970446014404,0.26416,1.5802020147323608,0.3696,2.4309651102916163,8.573287177105023
2,0.001,1.4383767301940917,0.4496,1.2975326946258545,0.5107,3.7694548106511516,10.283722914020528
3,0.001,1.1409163578987123,0.58618,1.1285996446609496,0.6028,4.579691907055536,10.250947604750523
4,0.001,0.946487486038208,0.66246,0.9546660396575928,0.6686,4.784793342649556,8.647518828030043
5,0.001,0.8270494449806214,0.70866,0.8544976845741272,0.7062,4.850175059228995,10.299368878304811
6,0.001,0.7474468871688843,0.73894,0.8406530722618103,0.7224,4.849264774901063,10.028136411270449
7,0.001,0.6827539425086975,0.76366,0.8539608127593994,0.7054,4.893191009157277,12.077079733984956
8,0.001,0.6225380244827271,0.7849,0.7922899421691895,0.7365,4.876578896981205,9.929488746172012
9,0.001,0.5670260209465027,0.80478,0.7895563574790955,0.7432,4.861247198341616,8.863474244802083
10,0.001,0.5217258361244201,0.82136,0.7882208200454712,0.7433,4.715119822810483,8.656863187536569
11,0.001,0.48946089007377624,0.83176,0.7627180112361908,0.7606,4.847903338378135,9.256521232094327
12,0.001,0.44557182353019714,0.8481,0.7548014821052551,0.7588,4.745555499248121,9.638947872068085
13,0.001,0.4099090234851837,0.85998,0.7387334646701813,0.7674,4.920762391080615,12.600320262153542
14,0.001,0.38383257771492,0.86924,0.7863560401916504,0.7533,4.8142825453337075,9.241364207690065
15,0.001,0.35864640334129333,0.87834,0.7688204503059387,0.7676,4.826178018801013,8.883105365794933
16,0.001,0.3354729624462128,0.88746,0.7720749915122986,0.7678,4.800297490919683,8.973655992801463
17,0.001,0.3041652958583832,0.89592,0.7774653696060181,0.7704,4.714508516740122,8.781027439741942
18,0.001,0.29494823652267455,0.9001,0.7950081735134125,0.7797,4.850549877241744,13.916011073575424
19,0.001,0.2695244015312195,0.90832,0.8383347505569458,0.7703,4.77443216624337,9.049520118724526
20,0.001,0.2564267669773102,0.91324,0.8016945226192475,0.7779,4.769410538453496,9.179401025823001
