epoch,lr,train_loss,train_acc,test_loss,test_acc,time_sec
1,0.1,2.2041346807861326,0.1853577734375,2.2696951801300047,0.1265,221.41039085388184
2,0.09990134628777145,2.110641351661682,0.2533096875,2.1078488548278806,0.2414,176.9447283744812
3,0.09960577449221733,2.054398324813843,0.28650263671875,1.960195712661743,0.3062,171.61552500724792
4,0.0991144511001808,2.0104407051086426,0.31459673828125,1.796934746170044,0.3875,172.27155709266663
5,0.0984293151406259,1.9578153769302369,0.34173306640625,1.6481248888015747,0.4766,172.38182592391968
6,0.0975530705321762,1.943604193725586,0.35290158203125,1.5265335889816285,0.548,172.75130796432495
7,0.09648917541198312,1.9102073611831665,0.3710300390625,1.405573422050476,0.6056,175.41681957244873
8,0.09524182848803865,1.848038385848999,0.40527541015625,1.2960773319244385,0.6533,173.72002983093262
9,0.09381595246879296,1.8298610005950928,0.41371859375,1.22990078125,0.6835,171.43589878082275
10,0.09221717463547324,1.8222692861175538,0.42143287109375,1.1824143772125244,0.7057,171.08923745155334
11,0.09045180463377549,1.7912675946807861,0.4378513671875,1.138198236846924,0.7224,175.75290369987488
12,0.08852680957257557,1.7852418653869628,0.44094806640625,1.100286672973633,0.7408,174.40357422828674
13,0.08644978652793345,1.7686380487823485,0.45105041015625,1.0629564970016478,0.7603,175.18624758720398
14,0.08422893256090477,1.7670282117843628,0.45009310546875,1.0292344539642333,0.7773,174.0819375514984
15,0.08187301236748572,1.7499951131439209,0.4602262109375,1.0050084005355835,0.7873,176.08529233932495
16,0.07939132368836219,1.743807262954712,0.46442099609375,0.9787369728088379,0.8018,173.48026156425476
17,0.07679366061497492,1.7309299282836914,0.470585390625,0.9612759611129761,0.8116,169.00967502593994
18,0.07409027493671524,1.7239450313568114,0.47209966796875,0.9482430536270141,0.817,171.24006938934326
19,0.0712918356817958,1.7280913763427734,0.4707071875,0.9365171556472778,0.8216,173.34654641151428
20,0.06840938701147047,1.7177127405548096,0.4756648828125,0.9298003606796265,0.8228,173.4634711742401
21,0.06545430463377548,1.7063486854553223,0.48279017578125,0.9256647197723389,0.8248,170.57336497306824
22,0.0624382509088069,1.7051469951248168,0.48295525390625,0.9130602681159973,0.8322,169.81280064582825
23,0.059373128822713304,1.6925656281280517,0.48662111328125,0.9000797634124755,0.8381,173.07679510116577
24,0.056271035012047395,1.6846022866821289,0.4928121484375,0.8946467163085937,0.8404,171.24990391731262
25,0.05314421202386802,1.6738963648223877,0.50105375,0.8861194942474365,0.8463,171.68303108215332
26,0.050004999999999994,1.6659830001068114,0.50141578125,0.874109478855133,0.8518,170.09746026992798
27,0.04686578797613197,1.6638015655899048,0.50078013671875,0.8668440486907959,0.8558,169.61159133911133
28,0.04373896498795261,1.6560834963989257,0.50307466796875,0.8575849893569947,0.8603,170.10082912445068
29,0.0406368711772867,1.6480074246215821,0.509845546875,0.850485701751709,0.8646,169.28513836860657
30,0.03757174909119308,1.6323405482482911,0.5162236328125,0.8418534954071045,0.8669,168.93880605697632
31,0.03455569536622452,1.630209951133728,0.52035076171875,0.8358448301315308,0.8691,170.1108956336975
32,0.03160061298852954,1.6186403983306885,0.52375181640625,0.8266707999229431,0.8728,170.4400372505188
33,0.028718164318204193,1.5978976970672607,0.5333276171875,0.8161756401062011,0.8747,168.52511763572693
34,0.025919725063284736,1.5889022541809081,0.5383544921875,0.8079421765327454,0.8799,170.99527716636658
35,0.02321633938502505,1.6009656985855103,0.53120990234375,0.8007694860458374,0.8839,170.01635670661926
36,0.02061867631163781,1.5984950190353393,0.53433193359375,0.7965025476455688,0.8857,169.93253660202026
37,0.018136987632514253,1.5667850566101074,0.54624087890625,0.7912928607940674,0.8893,171.9434871673584
38,0.015781067439095204,1.5678216641235352,0.54635921875,0.7855712879180908,0.891,174.67304253578186
39,0.013560213472066538,1.563999928970337,0.5485523828125,0.7808851849555969,0.8941,177.85426259040833
40,0.01148319042742442,1.5527944318389892,0.55384595703125,0.7768808646202088,0.8955,181.27022290229797
41,0.009558195366224506,1.5399440578460692,0.55913478515625,0.7701310586929321,0.8986,180.86138248443604
42,0.007792825364526766,1.5174733583068847,0.5705769921875,0.7622022249221801,0.9006,179.28824424743652
43,0.0061940475312070396,1.5201972505950927,0.5656001953125,0.7581186208724976,0.9037,180.08915376663208
44,0.004768171511961362,1.5236758469772338,0.5653048828125,0.7552598539352418,0.9053,180.60993552207947
45,0.0035208245880168736,1.4986030755233766,0.5767642578125,0.7516071095466613,0.9065,180.6055965423584
46,0.002456929467823799,1.5064168017578126,0.5731978515625,0.7482046686172485,0.9077,180.07527232170105
47,0.0015806848593740946,1.5056481105804442,0.5740037890625,0.7479295241355896,0.9094,179.53988194465637
48,0.0008955488998192072,1.4993303094863892,0.5743734765625,0.7466879611968994,0.9096,177.1676483154297
49,0.0004042255077826841,1.4940273159790038,0.57788283203125,0.7450693017959594,0.9104,174.44463682174683
50,0.00010865371222856339,1.4860665686798096,0.5820623828125,0.7433829332351685,0.9113,169.61192846298218
