step,loss
0,2.3029470443725586
1,2.3004024028778076
2,2.313772439956665
3,2.3076534271240234
4,2.2991251945495605
5,2.2950212955474854
6,2.2795615196228027
7,2.2371304035186768
8,2.346984386444092
9,2.257917642593384
10,2.279224395751953
11,2.299225091934204
12,2.2978665828704834
13,2.2991092205047607
14,2.3008596897125244
15,2.2992148399353027
16,2.299487590789795
17,2.2957022190093994
18,2.296104907989502
19,2.292912244796753
20,2.2819995880126953
21,2.2687480449676514
22,2.223168134689331
23,2.2159461975097656
24,2.1348986625671387
25,2.4807090759277344
26,2.059739828109741
27,2.153498888015747
28,2.207650899887085
29,2.173795223236084
30,2.182647466659546
31,2.173724889755249
32,2.2059216499328613
33,2.1197474002838135
34,2.095933675765991
35,2.100695848464966
36,2.1125288009643555
37,2.221282720565796
38,2.1386094093322754
39,2.1157965660095215
40,2.1049516201019287
41,2.132467746734619
42,2.1129791736602783
43,2.0732932090759277
44,2.1186914443969727
45,2.035168170928955
46,2.168977975845337
47,2.281284809112549
48,2.0553441047668457
49,2.101532459259033
50,2.0738813877105713
51,2.1050596237182617
52,2.0914604663848877
53,2.067509889602661
54,2.066977024078369
55,2.0550131797790527
56,1.988160252571106
57,1.9624881744384766
58,2.0065248012542725
59,1.9914453029632568
60,2.009026527404785
61,2.0082428455352783
62,2.0690650939941406
63,1.986587405204773
64,2.004757881164551
65,1.9642043113708496
66,1.9394197463989258
67,1.948252558708191
68,1.919514536857605
69,1.9540044069290161
70,1.9995659589767456
71,1.9408029317855835
72,1.9984227418899536
73,2.006835699081421
74,1.9794323444366455
75,2.0088448524475098
76,1.9314359426498413
77,2.004493236541748
78,1.9515879154205322
79,1.9218618869781494
80,1.8831758499145508
81,1.8675482273101807
82,1.9204076528549194
83,1.861802339553833
84,1.9626092910766602
85,1.9850393533706665
86,1.8949781656265259
87,1.9370591640472412
88,1.986989140510559
89,1.9105448722839355
90,1.941551923751831
91,1.8441638946533203
92,1.850367784500122
93,1.848899245262146
94,1.9154648780822754
95,1.7646712064743042
96,2.0477473735809326
97,1.8693900108337402
98,2.0709173679351807
99,1.895593523979187
100,1.9832518100738525
101,1.9177566766738892
102,1.962298035621643
103,1.9771852493286133
104,1.941726565361023
105,2.022012948989868
106,1.9723172187805176
107,1.8665519952774048
108,1.827405571937561
109,1.7420319318771362
110,1.8232851028442383
111,1.8729851245880127
112,1.878145456314087
113,1.8762034177780151
114,1.8599553108215332
115,1.8956962823867798
116,1.809312343597412
117,1.8238071203231812
118,1.8663111925125122
119,1.7112483978271484
120,1.8200619220733643
121,1.7666300535202026
122,1.9453201293945312
123,1.8434617519378662
124,1.8459587097167969
125,1.8396960496902466
126,1.7589659690856934
127,1.778213620185852
128,1.7963242530822754
129,1.7549530267715454
130,1.8587777614593506
131,1.842918038368225
132,1.8118023872375488
133,1.6524848937988281
134,1.7761094570159912
135,1.741434097290039
136,1.7323554754257202
137,1.8277705907821655
138,1.8000496625900269
139,1.7297637462615967
140,1.8128010034561157
141,1.8008887767791748
142,1.7632920742034912
143,1.8623744249343872
144,1.704606294631958
145,1.8660545349121094
146,1.9361637830734253
147,1.8640668392181396
148,1.9107004404067993
149,1.8239014148712158
150,1.843359351158142
151,1.7992711067199707
152,1.73580801486969
153,1.8140580654144287
154,1.8156720399856567
155,1.7432641983032227
156,1.881989598274231
157,1.719947338104248
158,1.8289880752563477
159,1.768549919128418
160,1.7286900281906128
161,1.7526448965072632
162,1.7717094421386719
163,1.6512162685394287
164,1.629868745803833
165,1.600424885749817
166,1.6979217529296875
167,1.7378767728805542
168,1.6580911874771118
169,1.9402432441711426
170,1.6778278350830078
171,1.6822468042373657
172,1.708876371383667
173,1.7792603969573975
174,1.706259846687317
175,1.6691206693649292
176,1.6683927774429321
177,1.6828444004058838
178,1.7348551750183105
179,1.6388163566589355
180,1.6444480419158936
181,1.7654608488082886
182,1.7701654434204102
183,1.8502702713012695
184,1.754492163658142
185,1.7768571376800537
186,1.7222638130187988
187,1.6832334995269775
188,1.7067954540252686
189,1.6938422918319702
190,1.639095425605774
191,1.8156169652938843
192,1.7108299732208252
193,1.7672779560089111
194,1.5861400365829468
195,1.6709269285202026
196,1.607425570487976
197,1.721518874168396
198,1.6888699531555176
199,1.6578961610794067
200,1.6156573295593262
201,1.6837745904922485
202,1.6659263372421265
203,1.7111834287643433
204,1.6290903091430664
205,1.8143032789230347
206,1.5146414041519165
207,1.521944522857666
208,1.7686983346939087
209,1.5161207914352417
210,1.5649724006652832
211,1.672831416130066
212,1.4982022047042847
213,1.653677225112915
214,1.725136160850525
215,1.766263484954834
216,1.6581339836120605
217,1.6096409559249878
218,1.6410439014434814
219,1.658444881439209
220,1.5632168054580688
221,1.5699074268341064
222,1.5393681526184082
223,1.4885917901992798
224,1.701164960861206
225,1.6322100162506104
226,1.623119592666626
227,1.5415250062942505
228,1.6648229360580444
229,1.6168396472930908
230,1.648262619972229
231,1.7111872434616089
232,1.5525295734405518
233,1.6741536855697632
234,1.638060212135315
235,1.6136963367462158
236,1.5650784969329834
237,1.5980228185653687
238,1.618897795677185
239,1.5706182718276978
240,1.6209787130355835
241,1.4665954113006592
242,1.4956812858581543
243,1.4690830707550049
244,1.5857800245285034
245,1.5431303977966309
246,1.7145812511444092
247,1.7015657424926758
248,1.4948903322219849
249,1.7525709867477417
250,1.5156538486480713
251,1.6461505889892578
252,1.703321099281311
253,1.5016531944274902
254,1.811978816986084
255,1.7960699796676636
256,1.5203571319580078
257,1.6466188430786133
258,1.5926547050476074
259,1.514993667602539
260,1.5585715770721436
261,1.591784119606018
262,1.5253145694732666
263,1.569219708442688
264,1.5766843557357788
265,1.6800917387008667
266,1.5354225635528564
267,1.6338653564453125
268,1.7380629777908325
269,1.6157203912734985
270,1.498682975769043
271,1.5318577289581299
272,1.7293882369995117
273,1.5259133577346802
274,1.7534286975860596
275,1.4228966236114502
276,1.5973607301712036
277,1.661230206489563
278,1.5439366102218628
279,1.4460196495056152
280,1.6974714994430542
281,1.6402438879013062
282,1.6766327619552612
283,1.495285987854004
284,1.5751452445983887
285,1.632749319076538
286,1.592251181602478
287,1.5475282669067383
288,1.6268929243087769
289,1.5199490785598755
290,1.5558149814605713
291,1.6127032041549683
292,1.5895421504974365
293,1.5291649103164673
