step,grad_norm
0,0.17194169999967748
1,0.22972684455620204
2,0.5318548774890852
3,0.32031347503188695
4,0.17368023509158192
5,0.18447122333366278
6,0.2786136579531717
7,0.3547014291221855
8,3.3134741805216184
9,0.4265320327950751
10,0.58663657579504
11,0.26369362364486437
12,0.14049927337950807
13,0.13838674603731166
14,0.11154830782831039
15,0.11767762614373674
16,0.09364699868535628
17,0.1791265037820163
18,0.15994682659469076
19,0.22638413965049634
20,0.3066263800349772
21,0.290131832493806
22,0.5036239513344283
23,0.7346616830463798
24,0.914624554459406
25,7.1938766371583664
26,1.1517447427290783
27,2.3666325079163193
28,0.8068326637892005
29,1.6463219403547917
30,0.7994544096321041
31,0.5737846086547521
32,0.5339047050695545
33,0.7539059198795388
34,0.7452029116162098
35,0.7556747919806562
36,1.4769970300507
37,1.7559215547566926
38,0.9515336500501181
39,1.0454916279701525
40,0.7886326983975346
41,0.8078917406331403
42,0.6223741684306947
43,0.9432313364425684
44,0.8975526272753572
45,0.9197865251243021
46,1.8908259220116332
47,2.2179614206462124
48,0.7566292454117391
49,0.9532042751324451
50,2.408349974161559
51,1.0379798343215638
52,1.180441468308665
53,1.0168637958550817
54,3.1571963755976173
55,1.899832904553055
56,1.5972519626525132
57,1.1118889720602558
58,1.8161817539791876
59,2.5500899992400203
60,1.2442587054569314
61,1.5396566276247388
62,2.058816427627333
63,4.554943377324267
64,3.643083320346881
65,1.318914868251353
66,4.061699458939049
67,2.9660234887467287
68,3.75218796733281
69,5.23061673077509
70,3.3827160022679683
71,6.210736987883878
72,2.6036004775707644
73,4.698535329539734
74,1.0134451380567702
75,1.8396297065720228
76,2.734771068227563
77,2.9591587346268877
78,3.050972997381422
79,2.2798233381529323
80,1.4654532159107498
81,3.142738309199242
82,1.9796451090575267
83,1.6642674049736372
84,4.227716020927812
85,2.372081262057793
86,2.818168647808685
87,3.782202439899205
88,1.8748075565884177
89,1.54567333464358
90,0.9797944690369973
91,1.5849226446452311
92,1.8206515925990967
93,2.9847338410664843
94,2.5227771697324295
95,1.5327073107313738
96,7.439785920349655
97,2.293548689680081
98,5.31887001495659
99,3.164757044417618
100,2.86424550125841
101,2.618925284044295
102,2.569527181478063
103,2.5045078452102136
104,3.033249187339573
105,2.462081666231717
106,3.6692385176976012
107,2.871049541844049
108,1.5396390490965413
109,1.8797434943026512
110,4.45312217821351
111,1.6948517559599094
112,2.321656480782561
113,4.699999227437216
114,3.164156664223798
115,1.7525996524179936
116,1.5933321832384104
117,2.9834500743874193
118,2.8657340318074036
119,1.5714986899042058
120,2.348199975832315
121,3.0245704347882016
122,5.219178511056165
123,2.8398460654168094
124,1.8295884508197455
125,2.4713152938228546
126,2.998303374122287
127,2.499889346286431
128,1.5579579011847189
129,3.4955758769982634
130,2.5657910187774116
131,3.831772699304651
132,3.4417628166756513
133,2.7170345458562455
134,2.689914871630422
