epoch,lr,train_loss,train_accuracy,val_loss,val_accuracy,mean_grad_norm,max_grad_norm
1,0.0005,1.7534018780517577,0.31446,1.4312911500930787,0.4303,3.1410893736756047,9.21931542922352
2,0.0005,1.2335004198074342,0.54454,1.0213712018013001,0.638,5.168422608725525,11.039247492064911
3,0.0005,0.9141701193618774,0.67476,0.8912866516113281,0.6878,5.649220500459605,10.623890104279937
4,0.0005,0.7492321470451355,0.73652,0.7767394560813904,0.733,5.791820646469607,10.678440036169796
5,0.0005,0.6321380704307556,0.78148,0.7673331530570984,0.7443,5.945764300105563,11.544986750992376
6,0.0005,0.5282839305114746,0.8163,0.6863513801574707,0.775,5.9670654879712535,11.726594226946753
7,0.0005,0.4482994658279419,0.84772,0.7234453474998475,0.7641,5.879776595436114,12.28217208261322
8,0.0005,0.36994369764328006,0.8733,0.7140719646453857,0.7787,5.886697607136174,11.169334006500211
9,0.0005,0.30933684511184695,0.89434,0.7222894673347473,0.7833,5.794114463875787,10.52796134886028
10,0.0005,0.264679327583313,0.90866,0.7251645381927491,0.7846,5.883904722851452,11.439464049619291
11,0.0005,0.22409525650978088,0.9223,0.7861868070602417,0.7886,5.72381063566056,13.889725514304414
12,0.0005,0.18768395425319673,0.9367,0.7929866931915284,0.7917,5.615571036290434,11.874787708661946
13,0.0005,0.1671677404642105,0.94274,0.8128827373504639,0.7854,5.56831907013095,13.233669145557338
14,0.0005,0.14935665940284729,0.949,0.9063647977828979,0.7778,5.400580923467118,11.713333031795056
15,0.0005,0.1352980118560791,0.95506,0.9040307321548462,0.7799,5.208797354650417,12.33979610511347
16,0.0005,0.12434291965007782,0.95876,0.8639667104721069,0.7883,5.153909045346848,11.626063628723735
17,0.0005,0.10735031736850739,0.96392,0.8996633640289307,0.7819,4.883714233327352,11.571994041024512
18,0.0005,0.10415464047431945,0.9646,0.9331337734222412,0.786,4.90239411380105,15.703318306647624
19,0.0005,0.0959080683106184,0.96762,0.9730736322402954,0.7925,4.680237078163181,10.072299047839994
20,0.0005,0.09920837107181549,0.96702,0.9593720106124878,0.7812,4.749663853462056,10.204347459684792
