step,grad_norm
0,14.10220116251974
1,12.964649982368222
2,11.751101168790639
3,12.464957118456246
4,11.108150484615715
5,10.419259342175454
6,10.940685157129575
7,9.706107436701433
8,10.074438120816788
9,9.844737739030412
10,8.726227574609307
11,8.441316650914576
12,9.037727987146072
13,8.412649196034668
14,8.360711242323372
15,8.922119437135018
16,8.551367489569406
17,8.51254784891431
18,8.288937708632666
19,7.401159744839227
20,7.325970395663978
21,8.41698692440196
22,8.292268198640947
23,8.027391904349495
24,7.656694715849718
25,7.56856507420965
26,7.553558778931631
27,8.866047204954803
28,8.072380420319956
29,7.269740557819637
30,7.285970339075941
31,7.5855901497039255
32,7.262453195087998
33,8.43435661849127
34,8.020411886525556
35,7.467714719380812
36,7.605789333961803
37,8.859781076171807
38,7.576357223141537
39,7.192251035435676
40,7.701293628915734
41,8.102491352649135
42,7.849603329215629
43,8.661324299519231
44,7.992728344320913
45,7.179147581679386
46,7.758549251750901
47,9.45327617870997
48,8.463762254668964
49,8.102891645003396
50,7.889430626380785
51,7.814184432165126
52,8.128743916235937
53,9.717777501901828
54,9.53895534860203
55,9.099968316253785
56,8.206909986183284
57,8.613146138387451
58,8.059402174698125
59,9.341241024659176
60,8.04586113108286
61,8.728479352140662
62,7.90091937864289
63,8.657992187599348
64,7.654023786117577
65,8.336798267771746
66,8.80842417992171
67,8.048257750560719
68,7.793500108871003
69,7.9466681993016985
70,8.203759754759115
71,8.029990614724516
72,8.630028906998595
73,10.424246154658519
74,9.909644923291426
75,9.4081549152121
76,8.491395040765967
77,9.486940463945642
78,8.094209341746698
79,7.6274431847061726
80,8.703035885496227
81,9.241058862407886
82,7.762072040050154
83,8.925276491945693
84,8.805172923864655
85,8.801471840678607
86,7.370747018049381
87,8.34970896960702
88,8.590838257466764
89,8.061921407833447
90,7.7139637670664145
91,9.898504115476651
92,8.245850516984408
93,7.6383760044015645
94,8.141248541044265
95,7.9652254940900065
96,8.248577455354857
97,8.490290436536643
98,11.86113048363582
99,8.753973411473657
100,9.627377284300755
101,10.413879026996343
102,11.970626972967164
103,8.055288844667468
104,9.330920044118235
105,7.6841838720191795
106,8.727255751785755
107,8.980713960517063
108,7.968332931824293
109,8.091477014921063
110,9.026657263239011
111,9.896574151270764
112,8.318639221199405
113,8.33913238565209
114,8.504856197162473
115,7.620393970737525
116,8.398287402411958
117,9.691551936540362
118,8.72058834525292
119,7.408900989045862
120,8.213859207129852
121,7.870039625217039
122,9.814036208613018
123,8.53351145671224
124,9.788943149679124
125,9.488421375117092
126,8.862292600635667
127,10.608200228703954
128,9.552796046093341
129,8.470523597529033
130,9.423628684251533
131,8.002754806728596
132,11.869773232856843
133,9.539719721904024
134,8.096264858246712
135,8.854213136459169
136,7.572648109660737
137,9.6554315582575
138,7.959280192954253
139,8.036404257124511
140,9.063995480604136
141,9.685052702190568
142,8.156325735655516
143,9.361636608002623
144,8.261212638640334
145,8.897796741839256
146,7.39373706901246
147,9.591286136177931
148,10.444544109416672
149,9.984642424787145
150,7.286315952345615
151,8.31407806825245
152,7.680654236183923
153,10.24688158167321
154,10.811038729539453
155,10.834171068729885
156,8.587410402631935
157,9.142789427189703
158,8.220973922568696
159,9.067971128537959
160,8.788178011100161
161,9.033764396041311
162,9.584063905030746
163,9.529593074767618
164,8.143443218247528
165,7.518890283143573
166,9.16054328407132
167,9.614002817172098
168,9.648384522268287
169,8.60110180922809
170,7.410533468320614
171,8.615506202223958
172,8.987028401958835
173,8.707578725343417
174,9.916209486625194
175,9.931143180240833
176,7.6899286824064115
177,9.324036300695909
178,7.3685825552343145
179,9.974380883834245
180,7.568444649613669
181,9.408180285574531
182,10.94244277664748
183,9.115482053598873
184,9.022394883091822
185,9.081222704733495
186,7.321121758881753
187,8.918197995831493
188,8.201589735936334
189,9.193799678130684
190,8.219310409075343
191,10.451883935716207
192,10.807292680495186
193,9.087657468008114
194,7.959129104097765
195,7.747508170465793
196,7.074472740034873
197,7.939575853651858
198,8.067765848689461
199,9.240981018138125
200,7.544511111043197
201,9.833817823832558
202,7.032351380463142
203,8.427426615971127
204,7.698340921626685
205,8.331451011241345
206,7.121980175544914
207,7.75628078994727
208,8.051208336570575
209,11.411247371073264
210,9.022994388268334
211,10.01050145572531
212,8.275854745844953
213,9.988589979593097
214,9.697332761081258
215,10.610430524668164
216,8.302223093860757
217,9.149271183747693
218,8.415740520106823
219,8.619610903857403
220,6.968030670621585
221,8.963925241790198
222,8.09159129021643
223,9.234131187562605
224,7.446305066569484
225,9.548735311392024
226,8.25654774189184
227,7.591755834197973
228,8.757686940552745
229,6.680772803693452
230,8.588752526380652
231,9.898750006629994
232,8.868784127438447
233,7.341644302553659
234,9.286819966202291
235,10.292089358259355
