step,min_loss,max_loss
0,2.3029470443725586,2.3029470443725586
1,2.3004024028778076,5.903581142425537
2,2.2992959022521973,2.313772439956665
3,2.3023874759674072,2.3076534271240234
4,2.297957181930542,2.3028523921966553
5,2.2950212955474854,2.3014254570007324
6,2.2795615196228027,2.3461742401123047
7,2.2371304035186768,2.3072972297668457
8,2.2773101329803467,2.346984386444092
9,2.257917642593384,2.2983920574188232
10,2.260359525680542,2.2966623306274414
11,2.259390115737915,2.3049843311309814
12,2.264629602432251,2.301323413848877
13,2.2440185546875,2.307617425918579
14,2.2507286071777344,2.3069686889648438
15,2.258760690689087,2.301799774169922
16,2.194854736328125,2.3076493740081787
17,2.097508192062378,2.3062782287597656
18,2.1511876583099365,2.302675724029541
19,2.1624302864074707,2.303676128387451
20,2.145420551300049,2.3057096004486084
21,2.1515719890594482,2.3024120330810547
22,2.0118296146392822,2.306471586227417
23,2.151003360748291,2.3024561405181885
24,2.1348986625671387,2.3031258583068848
25,2.1563374996185303,2.4807090759277344
26,1.9984617233276367,2.304211139678955
27,2.0671467781066895,2.304985523223877
28,2.179072380065918,2.3030002117156982
29,2.148573160171509,2.3068044185638428
30,2.078129529953003,2.300210952758789
31,2.0763885974884033,2.303863286972046
32,2.158930778503418,2.301449775695801
33,2.0363967418670654,2.3032565116882324
34,1.9851431846618652,2.305748224258423
35,2.043668508529663,2.30416202545166
36,1.9743174314498901,2.303875684738159
37,2.126551389694214,2.3024253845214844
38,2.0835583209991455,2.3032567501068115
39,1.972633719444275,2.3031558990478516
40,2.019545555114746,2.301677703857422
41,2.052861452102661,2.3031070232391357
42,1.971145510673523,2.3011066913604736
43,2.062703847885132,2.303626298904419
44,2.0748887062072754,2.3045990467071533
45,1.992330551147461,2.3006880283355713
46,2.068859100341797,2.301928997039795
47,2.176527976989746,2.302414655685425
48,2.0216121673583984,2.3018932342529297
49,1.989819884300232,2.302112102508545
50,1.9330945014953613,2.3044962882995605
51,2.0600526332855225,2.302186965942383
52,1.9337024688720703,2.303666114807129
53,1.9760832786560059,2.3040966987609863
54,2.066977024078369,2.3054537773132324
55,2.0377423763275146,2.301987648010254
56,1.9469633102416992,2.300128936767578
57,1.9576383829116821,2.3032283782958984
58,1.9013723134994507,2.299877166748047
59,1.979211688041687,2.3024675846099854
60,1.9214930534362793,2.3028688430786133
61,1.9737095832824707,2.2990550994873047
62,1.9956421852111816,2.303316593170166
63,1.986587405204773,2.3029754161834717
64,1.9910565614700317,2.30399227142334
65,1.9093726873397827,2.3025567531585693
66,1.9228817224502563,2.2989919185638428
67,1.9198004007339478,2.3013367652893066
68,1.919514536857605,2.305103063583374
69,1.9123713970184326,2.3019649982452393
70,1.9525984525680542,2.302382469177246
71,1.8488566875457764,2.301999568939209
72,1.9984227418899536,2.304321527481079
73,1.9244616031646729,2.3007044792175293
74,1.9794323444366455,2.3003315925598145
75,1.896012783050537,2.302762269973755
76,1.9041823148727417,2.302579641342163
