step,min_loss,max_loss
0,2.477267026901245,2.477267026901245
1,2.2860255241394043,6.233958721160889
2,2.1648993492126465,4.889310836791992
3,2.2348432540893555,3.4249918460845947
4,2.070256471633911,2.8183841705322266
5,2.034684419631958,2.843672513961792
6,1.9915177822113037,2.6372439861297607
7,1.795906901359558,2.4484474658966064
8,1.9812146425247192,2.443105936050415
9,1.8237873315811157,2.3633642196655273
10,1.7577457427978516,2.2941975593566895
11,1.761575698852539,2.440445899963379
12,1.749581217765808,2.3506903648376465
13,1.7881033420562744,2.3687751293182373
14,1.7369837760925293,2.322580099105835
15,1.778747320175171,2.3253231048583984
16,1.7227809429168701,2.2988338470458984
17,1.6671727895736694,2.2792892456054688
18,1.6992318630218506,2.3087925910949707
19,1.6362265348434448,2.2891180515289307
20,1.4767990112304688,2.314307451248169
21,1.6777745485305786,2.3270182609558105
22,1.683605670928955,2.2652647495269775
23,1.6528054475784302,2.327618360519409
24,1.5921220779418945,2.302353620529175
25,1.5793735980987549,2.2842609882354736
26,1.5803279876708984,2.3311479091644287
27,1.627036690711975,2.2999815940856934
28,1.6611144542694092,2.3479998111724854
29,1.5768499374389648,2.2696917057037354
30,1.5632946491241455,2.2707247734069824
31,1.5534679889678955,2.3058981895446777
32,1.4586409330368042,2.272552728652954
33,1.662681221961975,2.335880994796753
34,1.5979561805725098,2.3804399967193604
35,1.6213953495025635,2.307419538497925
36,1.4576698541641235,2.2942419052124023
37,1.5413854122161865,2.348623514175415
38,1.5446739196777344,2.327711343765259
39,1.4456474781036377,2.281067132949829
40,1.5339893102645874,2.269717216491699
41,1.4861242771148682,2.301896095275879
42,1.4285495281219482,2.284961223602295
43,1.6985502243041992,2.3198907375335693
44,1.439032793045044,2.2745211124420166
45,1.287687063217163,2.2885501384735107
46,1.4071556329727173,2.269619941711426
47,1.5820705890655518,2.301375389099121
48,1.440472960472107,2.2746331691741943
49,1.451084852218628,2.2792959213256836
50,1.4035475254058838,2.259291172027588
51,1.405093789100647,2.335061550140381
52,1.3524025678634644,2.299069881439209
53,1.3960102796554565,2.269505739212036
54,1.412095069885254,2.2627902030944824
55,1.5450009107589722,2.32977032661438
56,1.477539300918579,2.3074817657470703
57,1.501493215560913,2.3072807788848877
58,1.5446568727493286,2.3158111572265625
59,1.4320216178894043,2.2929015159606934
60,1.3545753955841064,2.274904251098633
61,1.3608065843582153,2.26552152633667
62,1.3402488231658936,2.302480459213257
63,1.2918055057525635,2.271707057952881
64,1.3524315357208252,2.2892093658447266
65,1.4404239654541016,2.2787954807281494
66,1.3789424896240234,2.2895874977111816
67,1.3654969930648804,2.273738145828247
68,1.3791728019714355,2.3083460330963135
69,1.3885880708694458,2.282268524169922
70,1.2719604969024658,2.2874672412872314
71,1.2614144086837769,2.2199878692626953
72,1.3553588390350342,2.2766196727752686
73,1.3228250741958618,2.2637784481048584
74,1.3489736318588257,2.2685272693634033
75,1.4019871950149536,2.274012804031372
76,1.3335343599319458,2.2798333168029785
77,1.3984720706939697,2.2497382164001465
78,1.3734378814697266,2.2742197513580322
79,1.2434943914413452,2.2467451095581055
80,1.3876270055770874,2.218614339828491
81,1.403495192527771,2.272585391998291
82,1.3008135557174683,2.268239974975586
83,1.2667878866195679,2.1946306228637695
84,1.37997305393219,2.252054214477539
85,1.2997018098831177,2.2066774368286133
86,1.2881299257278442,2.2049484252929688
87,1.3151884078979492,2.2385449409484863
88,1.2889429330825806,2.2158029079437256
89,1.1425868272781372,2.1732637882232666
90,1.0999654531478882,2.1670892238616943
91,1.3020683526992798,2.2061727046966553
92,1.3141613006591797,2.173438787460327
93,1.2230885028839111,2.218479633331299
94,1.3330352306365967,2.1794703006744385
95,1.2258267402648926,2.2839579582214355
96,1.3134528398513794,2.195643663406372
97,1.2341923713684082,2.172293186187744
98,1.429306983947754,2.1797585487365723
99,1.3043769598007202,2.1682851314544678
100,1.428938627243042,2.2064404487609863
101,1.3670916557312012,2.2153377532958984
102,1.3898118734359741,2.21388840675354
103,1.331365704536438,2.1570091247558594
104,1.221996545791626,2.080496311187744
105,1.2776107788085938,2.112595558166504
106,1.2996928691864014,2.0426769256591797
107,1.2588982582092285,2.1437439918518066
108,1.0767344236373901,2.127080202102661
109,1.333331823348999,2.2250804901123047
110,1.2507270574569702,2.046267509460449
111,1.3678088188171387,2.0803110599517822
112,1.0920109748840332,2.0985751152038574
113,1.1946699619293213,2.0664186477661133
114,1.2374306917190552,2.074188232421875
115,1.1350634098052979,1.9799857139587402
116,1.3354220390319824,2.0474557876586914
117,1.1584285497665405,2.0024731159210205
118,1.1995272636413574,1.918251395225525
119,0.996498703956604,1.969826579093933
120,1.1727524995803833,1.9159486293792725
121,1.1250149011611938,2.1559255123138428
122,1.3708046674728394,2.053277015686035
123,1.1779441833496094,1.9775731563568115
124,1.236201286315918,2.1486082077026367
125,1.332661747932434,2.181377410888672
126,1.1240959167480469,1.9661449193954468
127,1.4896451234817505,2.08420467376709
128,1.4178330898284912,2.0460691452026367
129,1.306754469871521,2.0962703227996826
130,1.226377248764038,2.0201833248138428
131,1.1381676197052002,2.0459299087524414
132,1.2416059970855713,2.0980303287506104
133,1.2333660125732422,2.0087032318115234
134,1.2542858123779297,1.996323585510254
135,1.247936487197876,1.8811533451080322
136,1.1599551439285278,1.9979009628295898
137,1.0721790790557861,1.8035423755645752
138,1.1957415342330933,2.0099568367004395
139,1.4068511724472046,2.005768060684204
140,1.2697868347167969,1.8130217790603638
141,1.323676347732544,1.9073662757873535
142,1.1561567783355713,1.8521984815597534
143,1.2690740823745728,1.9217948913574219
144,1.1672176122665405,1.803442120552063
145,1.1241428852081299,1.9082823991775513
146,1.1686508655548096,1.821241855621338
147,1.2914868593215942,1.925460696220398
148,1.2388086318969727,1.973086953163147
149,1.317008376121521,1.9231129884719849
150,1.0567256212234497,1.7590569257736206
151,1.0942964553833008,1.7592029571533203
152,1.0437698364257812,1.864385724067688
153,1.3351446390151978,2.074993133544922
154,1.325391411781311,1.9663509130477905
155,1.2111750841140747,1.8398646116256714
156,1.214682698249817,1.970494270324707
157,1.0843309164047241,1.8773046731948853
158,1.055481195449829,1.859059453010559
159,1.272688865661621,1.975568175315857
160,1.1729906797409058,1.890812635421753
161,1.15951669216156,1.8755812644958496
162,1.0894381999969482,1.8076186180114746
163,1.3309974670410156,1.8918613195419312
164,1.1346416473388672,1.8335180282592773
165,0.9209470152854919,1.730368733406067
166,1.1198723316192627,1.7423241138458252
167,1.2386600971221924,1.7499545812606812
168,1.127138614654541,1.7838492393493652
169,1.1903389692306519,1.8447563648223877
170,0.9653092622756958,1.7928056716918945
171,1.2810628414154053,2.1250317096710205
172,1.3230732679367065,1.9390608072280884
173,1.329671859741211,1.8699090480804443
174,1.3515819311141968,1.9840624332427979
175,1.159928560256958,1.8909029960632324
176,1.0377321243286133,1.8228998184204102
177,1.0963454246520996,1.7320584058761597
178,1.1458443403244019,1.8082942962646484
179,1.3623019456863403,1.989782691001892
180,1.0171496868133545,1.701646327972412
181,1.2075799703598022,1.8325811624526978
182,1.2258683443069458,1.9982423782348633
183,1.0433505773544312,1.6487705707550049
184,1.1567702293395996,1.851300597190857
185,1.202247142791748,1.8001072406768799
186,1.069258451461792,1.7353689670562744
187,1.0975536108016968,1.7111742496490479
188,1.2354297637939453,1.8728896379470825
189,1.1786439418792725,1.8640248775482178
190,1.2004810571670532,1.8413431644439697
191,1.0874289274215698,1.6791566610336304
192,1.1384962797164917,1.7180566787719727
193,1.1797631978988647,1.9307494163513184
194,1.1193488836288452,1.804473638534546
195,1.0824296474456787,1.7827982902526855
196,1.0230642557144165,1.7683027982711792
197,1.1411454677581787,1.803440809249878
198,1.1081136465072632,1.7023131847381592
199,1.143170714378357,1.7854688167572021
200,1.153045415878296,1.7915422916412354
201,1.1290730237960815,1.8283885717391968
202,1.0659235715866089,1.785921335220337
203,1.0475099086761475,1.8248754739761353
204,0.9960155487060547,1.6181035041809082
205,1.2061141729354858,1.8483288288116455
206,0.9760761857032776,1.7565704584121704
207,1.0244747400283813,1.6927785873413086
208,1.1155177354812622,1.7396589517593384
209,1.290291428565979,1.9087728261947632
210,1.1208994388580322,1.8822369575500488
211,0.9966926574707031,1.7096378803253174
212,1.1303346157073975,1.8141106367111206
213,1.051193118095398,1.736320972442627
214,1.0891003608703613,1.7798625230789185
215,1.0664280652999878,1.6274172067642212
216,1.0536240339279175,1.8070663213729858
217,1.233774185180664,1.8243091106414795
218,1.0716290473937988,1.6885440349578857
219,0.9221728444099426,1.6042430400848389
220,0.8513946533203125,1.5449258089065552
221,1.122841715812683,1.7785440683364868
222,0.8449147343635559,1.6112594604492188
223,1.1300547122955322,1.6757047176361084
224,1.0210824012756348,1.676823616027832
225,1.110541582107544,1.6546378135681152
226,1.0588319301605225,1.73878014087677
227,1.0395151376724243,1.6075609922409058
228,1.0175787210464478,1.5622780323028564
229,0.9840326905250549,1.7086261510849
230,1.2527790069580078,1.7571145296096802
231,1.129731297492981,1.7903468608856201
232,1.084865689277649,1.7094060182571411
233,0.9513548016548157,1.6257156133651733
234,1.1650878190994263,1.9076218605041504
235,1.1723471879959106,1.795316219329834
236,1.1177332401275635,1.7098948955535889
237,1.0144336223602295,1.6739215850830078
238,1.1777753829956055,1.7600581645965576
239,1.0417829751968384,1.592615008354187
240,1.0002375841140747,1.6550378799438477
241,0.9126899242401123,1.713829517364502
242,1.0788710117340088,1.578992486000061
243,1.2787917852401733,1.8581106662750244
244,0.8175868391990662,1.6295619010925293
245,0.9641874432563782,1.647262692451477
246,0.9767505526542664,1.6284693479537964
247,0.9124210476875305,1.8748528957366943
248,1.027981162071228,1.645491361618042
249,1.3556327819824219,1.810809850692749
250,1.0305848121643066,1.825452208518982
251,0.9906458258628845,1.6685411930084229
252,1.0800081491470337,1.6847445964813232
253,0.949822187423706,1.6812381744384766
254,1.0291067361831665,1.7147482633590698
255,1.0846973657608032,1.6276652812957764
256,0.9592152237892151,1.6059908866882324
257,1.0628232955932617,1.6712504625320435
258,1.1541937589645386,1.7555772066116333
259,0.9860843420028687,1.581328272819519
260,0.9040541052818298,1.582326054573059
261,1.0967172384262085,1.5810118913650513
262,0.9749529361724854,1.5851243734359741
263,0.9137368202209473,1.618428111076355
264,0.9910087585449219,1.6474498510360718
265,0.8146758675575256,1.5872931480407715
266,1.0020310878753662,1.8126105070114136
267,0.9707913994789124,1.5751909017562866
268,1.1838864088058472,1.6442995071411133
269,1.097418189048767,1.6400949954986572
270,1.0767878293991089,1.5971558094024658
271,1.1089555025100708,1.6743597984313965
272,1.0038725137710571,1.6162718534469604
273,0.9324052929878235,1.656054139137268
274,0.9692952632904053,1.5917713642120361
275,1.0081411600112915,1.7475358247756958
276,0.995058000087738,1.5880873203277588
277,1.0428171157836914,1.6703569889068604
278,0.9308879971504211,1.4741472005844116
279,1.0748308897018433,1.6826691627502441
280,0.877707839012146,1.471260905265808
281,1.0926532745361328,1.774675965309143
282,1.0109212398529053,1.5585541725158691
283,0.8756892085075378,1.4382754564285278
284,0.9988187551498413,1.51981782913208
285,1.0556584596633911,1.6583963632583618
286,0.8748118281364441,1.515043020248413
287,1.028168797492981,1.5510802268981934
288,1.0902348756790161,1.4594050645828247
289,1.033866047859192,1.5984477996826172
290,0.8075637221336365,1.4423186779022217
291,0.8242813348770142,1.41559636592865
292,0.9939538836479187,1.5347979068756104
293,0.9523723721504211,1.5848699808120728
294,0.8936073780059814,1.5236417055130005
295,1.0196090936660767,1.5541571378707886
296,1.13727605342865,1.7375450134277344
297,0.9697014093399048,1.6659826040267944
298,0.9843368530273438,1.5174814462661743
299,1.0097663402557373,1.6357996463775635
300,0.9953729510307312,1.5679670572280884
301,0.8857515454292297,1.6533825397491455
302,0.8677853345870972,1.523800015449524
303,0.9680191874504089,1.5576499700546265
304,1.1119471788406372,1.755365014076233
305,1.101140022277832,1.7114168405532837
306,1.0113829374313354,1.6197893619537354
307,1.0531717538833618,1.64372980594635
308,1.0022841691970825,1.6563776731491089
309,0.9233073592185974,1.641204595565796
310,0.9586451649665833,1.599524974822998
311,0.9848499298095703,1.6210557222366333
312,0.9028984904289246,1.5715638399124146
313,1.0129616260528564,1.5646181106567383
314,1.0470025539398193,1.7096211910247803
315,0.9576582312583923,1.5265111923217773
316,0.9856383800506592,1.7342653274536133
317,1.2437267303466797,1.7207612991333008
318,0.8596565127372742,1.5605173110961914
319,0.9854238629341125,1.679471492767334
320,1.0937929153442383,1.667759895324707
321,0.9731067419052124,1.4217514991760254
322,1.1132694482803345,1.707194447517395
323,1.0578302145004272,1.7271449565887451
324,0.8290508985519409,1.5279560089111328
325,0.9806234240531921,1.5430737733840942
326,0.8517777919769287,1.5673006772994995
327,0.9450344443321228,1.5200560092926025
328,0.7785351872444153,1.4861847162246704
329,0.8628791570663452,1.507373571395874
330,0.8816856145858765,1.522574782371521
331,0.8192688822746277,1.4776359796524048
332,0.8872624635696411,1.5453102588653564
333,0.8822696208953857,1.6111485958099365
334,0.9103339314460754,1.4762459993362427
335,0.8382253050804138,1.5140258073806763
336,0.9362043738365173,1.5874546766281128
337,0.8367689251899719,1.5885146856307983
338,0.7413379549980164,1.416907787322998
339,0.817991316318512,1.4547395706176758
340,0.9922720193862915,1.5071349143981934
341,0.9652509689331055,1.432489037513733
342,0.915655791759491,1.6638994216918945
343,0.9158481955528259,1.5064901113510132
344,0.7457519769668579,1.4688866138458252
345,0.9460726380348206,1.5118011236190796
346,0.9458267688751221,1.547963261604309
347,0.9152224659919739,1.448702335357666
348,0.9410728812217712,1.460857629776001
349,0.8534581065177917,1.4310444593429565
350,0.8092103004455566,1.4400856494903564
351,1.01559579372406,1.5821287631988525
352,0.8544434905052185,1.655405044555664
353,0.8681996464729309,1.4353828430175781
354,1.0100303888320923,1.5454246997833252
355,0.8127130270004272,1.4130462408065796
356,0.7913663387298584,1.4092071056365967
357,0.7810230851173401,1.3661468029022217
358,0.8370128273963928,1.4695827960968018
359,1.012217402458191,1.8725465536117554
360,0.9380697011947632,1.4625476598739624
361,1.0272903442382812,1.4935779571533203
362,0.8658193349838257,1.425388216972351
363,1.012289047241211,1.5832552909851074
364,0.8849044442176819,1.4176170825958252
365,0.8872554898262024,1.5030677318572998
366,0.967335045337677,1.5787774324417114
367,1.0156378746032715,1.6664379835128784
368,0.9989597201347351,1.3620089292526245
369,0.8598350882530212,1.37563955783844
370,0.7987427711486816,1.4753245115280151
371,1.0977158546447754,1.4706975221633911
372,0.9992157220840454,1.4515082836151123
373,1.057255744934082,1.6964813470840454
374,0.8324652910232544,1.5738669633865356
375,0.9032456874847412,1.3665118217468262
376,0.7801495790481567,1.4215118885040283
377,0.9412220120429993,1.5391286611557007
378,0.9045319557189941,1.5133157968521118
379,0.8810015320777893,1.601763129234314
380,0.8457580804824829,1.4534428119659424
381,0.8963481783866882,1.4764658212661743
382,0.9001519680023193,1.4974581003189087
383,0.9123044013977051,1.5151784420013428
384,0.9461050629615784,1.5620217323303223
385,0.8862990140914917,1.508256435394287
386,0.8210995197296143,1.5176554918289185
387,1.1168767213821411,1.5164461135864258
388,0.9132850766181946,1.4235165119171143
389,0.9043376445770264,1.5491067171096802
390,0.8272234201431274,1.584841251373291
391,0.813588559627533,1.4877444505691528
392,0.8885672688484192,1.5258747339248657
393,0.8273099064826965,1.465118408203125
394,0.7567072510719299,1.4594534635543823
395,0.8068437576293945,1.519641637802124
396,0.8395540714263916,1.4903796911239624
397,0.8788937926292419,1.5174319744110107
398,0.7567303776741028,1.3837226629257202
399,0.9479251503944397,1.5710819959640503
400,0.7494348883628845,1.4780614376068115
401,0.770506739616394,1.3642568588256836
402,0.9875641465187073,1.4228301048278809
403,0.9330021739006042,1.4509284496307373
404,0.7038561105728149,1.3674826622009277
405,0.8796496987342834,1.5203509330749512
406,0.7621581554412842,1.5829691886901855
407,0.7050614953041077,1.5066843032836914
408,0.8640801906585693,1.5325219631195068
409,0.7232564687728882,1.3984136581420898
410,0.8697628974914551,1.4738564491271973
411,0.8423513770103455,1.4238723516464233
412,0.804890513420105,1.4476131200790405
413,0.9174789786338806,1.4988353252410889
414,0.6414413452148438,1.370456576347351
415,0.9010665416717529,1.4937094449996948
416,0.7725809812545776,1.4830236434936523
417,0.8043465614318848,1.4727991819381714
418,0.7614728808403015,1.2962387800216675
419,0.9380683898925781,1.5260555744171143
420,0.7938559651374817,1.4012798070907593
421,0.6875985264778137,1.4027568101882935
422,0.8549849987030029,1.5133265256881714
423,1.0123082399368286,1.553423285484314
424,0.6947500705718994,1.3110697269439697
425,0.755499541759491,1.4614771604537964
426,1.004951000213623,1.489094853401184
427,0.7194826006889343,1.2625232934951782
428,0.8264097571372986,1.3615878820419312
429,0.8437117338180542,1.3349483013153076
430,0.9226051568984985,1.3082034587860107
431,0.6607838273048401,1.2572077512741089
432,0.7990249991416931,1.4027514457702637
433,0.7677128911018372,1.5013227462768555
434,0.8265373110771179,1.4209315776824951
435,0.7542044520378113,1.493513584136963
436,0.781052827835083,1.1957101821899414
437,0.6599156856536865,1.2523914575576782
438,0.7268826961517334,1.3569364547729492
439,0.7768517136573792,1.4845905303955078
440,0.7219355702400208,1.3895320892333984
441,0.7806265950202942,1.4712128639221191
442,0.8168386220932007,1.4476858377456665
443,0.7961368560791016,1.3519539833068848
444,0.7819395065307617,1.3804802894592285
445,0.8358258008956909,1.553989291191101
446,0.7034684419631958,1.4308984279632568
447,0.7918847799301147,1.397473692893982
448,0.883472204208374,1.5280710458755493
449,0.7730494141578674,1.4266459941864014
450,0.7185227870941162,1.3809467554092407
451,0.6978941559791565,1.3648240566253662
452,0.7712256908416748,1.4098517894744873
453,0.9386448264122009,1.406416893005371
454,0.7730005979537964,1.3944928646087646
455,0.8419644236564636,1.5382431745529175
456,0.8655420541763306,1.2974610328674316
457,0.8061536550521851,1.2809537649154663
458,0.8318718671798706,1.3934180736541748
459,0.7891892790794373,1.4248155355453491
460,0.8002395033836365,1.2632496356964111
461,0.7957919836044312,1.5795425176620483
462,0.7288205623626709,1.2547460794448853
463,0.8256165385246277,1.4285744428634644
464,0.7242681384086609,1.3251577615737915
465,0.6292897462844849,1.3490478992462158
466,0.7623374462127686,1.3551273345947266
467,0.8183681964874268,1.3761556148529053
468,0.661439061164856,1.3246042728424072
469,0.8905780911445618,1.6038825511932373
470,0.7026934027671814,1.3945311307907104
471,0.6832417249679565,1.4593242406845093
472,0.8846412301063538,1.3226076364517212
473,0.7474310994148254,1.292762041091919
474,0.8317344784736633,1.465192198753357
475,0.8206498026847839,1.4014536142349243
476,0.8693250417709351,1.3953286409378052
477,0.7908570170402527,1.312389612197876
478,0.8313657641410828,1.3603403568267822
479,0.7821674346923828,1.2674368619918823
480,0.8173100352287292,1.3421562910079956
481,0.6585783958435059,1.1671615839004517
482,0.7376329302787781,1.2988873720169067
483,0.7778609395027161,1.3109477758407593
484,0.8131000399589539,1.4237102270126343
485,0.744854211807251,1.4075433015823364
486,0.7430807948112488,1.2838212251663208
487,0.8399559259414673,1.4410556554794312
488,0.6752668619155884,1.344903826713562
489,0.5436702966690063,1.166172981262207
490,0.7799028158187866,1.291343331336975
491,0.6981288194656372,1.2785001993179321
492,0.8076047897338867,1.2065308094024658
493,0.8783417344093323,1.2990586757659912
494,0.8939552307128906,1.4732455015182495
495,0.8855186700820923,1.2526040077209473
496,0.809040367603302,1.3589818477630615
497,0.8270420432090759,1.5085219144821167
498,0.8593913316726685,1.4195032119750977
499,0.8771522641181946,1.4377665519714355
500,0.788004994392395,1.5023003816604614
501,0.873379111289978,1.4493889808654785
502,0.7205372452735901,1.2274582386016846
503,0.7772737741470337,1.4008516073226929
504,0.9436625838279724,1.5499305725097656
505,0.7498385310173035,1.255705714225769
506,0.695073127746582,1.4071658849716187
507,0.7016048431396484,1.2876036167144775
508,0.7754367589950562,1.1871485710144043
509,0.7201197147369385,1.1598800420761108
510,0.7781358957290649,1.1847707033157349
511,0.9200529456138611,1.5612192153930664
512,0.7926143407821655,1.2953466176986694
513,0.8425169587135315,1.3163353204727173
514,0.8483392000198364,1.4233840703964233
515,0.7924336194992065,1.1762275695800781
516,0.6516976952552795,1.1440140008926392
517,0.6560217142105103,1.156208872795105
518,0.7381038665771484,1.383556604385376
519,0.8405948877334595,1.3649673461914062
520,0.8403865098953247,1.4261465072631836
521,0.8935924172401428,1.4107410907745361
522,0.6986724138259888,1.2383214235305786
523,0.660757303237915,1.163783073425293
524,0.6763571500778198,1.2603224515914917
525,0.7171719670295715,1.1722627878189087
526,0.7914904356002808,1.2851669788360596
527,0.8254838585853577,1.3383549451828003
528,0.678300678730011,1.2375702857971191
529,0.705111026763916,1.2610610723495483
530,0.8792654871940613,1.2867873907089233
531,0.5687471032142639,1.0885083675384521
532,0.9061234593391418,1.4186961650848389
533,0.7349458336830139,1.394901990890503
534,0.8409351706504822,1.3044217824935913
535,0.6431589126586914,1.2040654420852661
536,0.7794827222824097,1.2553294897079468
537,0.626929759979248,1.1335406303405762
538,0.8151413202285767,1.1926124095916748
539,0.8404192924499512,1.3283618688583374
540,0.8003090023994446,1.4213567972183228
541,0.773169755935669,1.3352627754211426
542,0.6387118101119995,1.1658059358596802
543,0.7181411385536194,1.2109795808792114
544,0.8022327423095703,1.1202324628829956
